"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"04.01.2024 03:45 - 04.01.2024 04:00","13848","14373"
"04.01.2024 04:00 - 04.01.2024 04:15","14059","14379"
"04.01.2024 04:15 - 04.01.2024 04:30","14196","14543"
"04.01.2024 04:30 - 04.01.2024 04:45","14292","14601"
"04.01.2024 04:45 - 04.01.2024 05:00","14369","14644"
"04.01.2024 05:00 - 04.01.2024 05:15","14407","14434"
"04.01.2024 05:15 - 04.01.2024 05:30","14465","14522"
"04.01.2024 05:30 - 04.01.2024 05:45","14529","14625"
"04.01.2024 05:45 - 04.01.2024 06:00","14595","14611"
"04.01.2024 06:00 - 04.01.2024 06:15","14676","14651"
"04.01.2024 06:15 - 04.01.2024 06:30","14728","14823"
"04.01.2024 06:30 - 04.01.2024 06:45","14759","14857"
"04.01.2024 06:45 - 04.01.2024 07:00","14774","14813"
"04.01.2024 07:00 - 04.01.2024 07:15","14762","14734"
"04.01.2024 07:15 - 04.01.2024 07:30","14759","14780"
"04.01.2024 07:30 - 04.01.2024 07:45","14759","14756"
"04.01.2024 07:45 - 04.01.2024 08:00","14748","14699"
"04.01.2024 08:00 - 04.01.2024 08:15","14722","14715"
"04.01.2024 08:15 - 04.01.2024 08:30","14708","14749"
"04.01.2024 08:30 - 04.01.2024 08:45","14701","14789"
"04.01.2024 08:45 - 04.01.2024 09:00","14694","14811"
"04.01.2024 09:00 - 04.01.2024 09:15","14685","14875"
"04.01.2024 09:15 - 04.01.2024 09:30","14683","14818"
"04.01.2024 09:30 - 04.01.2024 09:45","14685","14759"
"04.01.2024 09:45 - 04.01.2024 10:00","14697","14759"
"04.01.2024 10:00 - 04.01.2024 10:15","14727","14865"
"04.01.2024 10:15 - 04.01.2024 10:30","14737","14841"
"04.01.2024 10:30 - 04.01.2024 10:45","14736","14782"
"04.01.2024 10:45 - 04.01.2024 11:00","14725","14729"
"04.01.2024 11:00 - 04.01.2024 11:15","14694","14630"
"04.01.2024 11:15 - 04.01.2024 11:30","14679","14654"
"04.01.2024 11:30 - 04.01.2024 11:45","14675","14620"
"04.01.2024 11:45 - 04.01.2024 12:00","14669","14532"
"04.01.2024 12:00 - 04.01.2024 12:15","14659","14493"
"04.01.2024 12:15 - 04.01.2024 12:30","14663","14495"
"04.01.2024 12:30 - 04.01.2024 12:45","14675","14452"
"04.01.2024 12:45 - 04.01.2024 13:00","14697","14537"
"04.01.2024 13:00 - 04.01.2024 13:15","14737","14535"
"04.01.2024 13:15 - 04.01.2024 13:30","14767","14563"
"04.01.2024 13:30 - 04.01.2024 13:45","14792","14557"
"04.01.2024 13:45 - 04.01.2024 14:00","14822","14552"
"04.01.2024 14:00 - 04.01.2024 14:15","14861","14591"
"04.01.2024 14:15 - 04.01.2024 14:30","14886","14601"
"04.01.2024 14:30 - 04.01.2024 14:45","14902","14642"
"04.01.2024 14:45 - 04.01.2024 15:00","14913","14673"
"04.01.2024 15:00 - 04.01.2024 15:15","14916","14722"
"04.01.2024 15:15 - 04.01.2024 15:30","14918","14609"
"04.01.2024 15:30 - 04.01.2024 15:45","14886","14701"
"04.01.2024 15:45 - 04.01.2024 16:00","14877","14662"
"04.01.2024 16:00 - 04.01.2024 16:15","14859","14731"
"04.01.2024 16:15 - 04.01.2024 16:30","14849","14623"
"04.01.2024 16:30 - 04.01.2024 16:45","14840","14614"
"04.01.2024 16:45 - 04.01.2024 17:00","14840","14663"
"04.01.2024 17:00 - 04.01.2024 17:15","14858","14688"
"04.01.2024 17:15 - 04.01.2024 17:30","14848","14577"
"04.01.2024 17:30 - 04.01.2024 17:45","14821","14565"
"04.01.2024 17:45 - 04.01.2024 18:00","14785","14524"
"04.01.2024 18:00 - 04.01.2024 18:15","14737","14607"
"04.01.2024 18:15 - 04.01.2024 18:30","14682","14522"
"04.01.2024 18:30 - 04.01.2024 18:45","14629","14552"
"04.01.2024 18:45 - 04.01.2024 19:00","14540","14452"
"04.01.2024 19:00 - 04.01.2024 19:15","14389","14395"
"04.01.2024 19:15 - 04.01.2024 19:30","14317","14311"
"04.01.2024 19:30 - 04.01.2024 19:45","14289","14238"
"04.01.2024 19:45 - 04.01.2024 20:00","14311","14152"
"04.01.2024 20:00 - 04.01.2024 20:15","14423","14285"
"04.01.2024 20:15 - 04.01.2024 20:30","14455","14366"
"04.01.2024 20:30 - 04.01.2024 20:45","14441","14473"
"04.01.2024 20:45 - 04.01.2024 21:00","14419","14428"
"04.01.2024 21:00 - 04.01.2024 21:15","14378","14447"
"04.01.2024 21:15 - 04.01.2024 21:30","14327","14291"
"04.01.2024 21:30 - 04.01.2024 21:45","14273","14149"
"04.01.2024 21:45 - 04.01.2024 22:00","14176","14131"
"04.01.2024 22:00 - 04.01.2024 22:15","14010","14117"
"04.01.2024 22:15 - 04.01.2024 22:30","13923","14110"
"04.01.2024 22:30 - 04.01.2024 22:45","13886","13957"
"04.01.2024 22:45 - 04.01.2024 23:00","13863","13877"
"04.01.2024 23:00 - 04.01.2024 23:15","13606","13777"
"04.01.2024 23:15 - 04.01.2024 23:30","13600","13698"
"04.01.2024 23:30 - 04.01.2024 23:45","13589","13612"
"04.01.2024 23:45 - 05.01.2024 00:00","13565","13482"
"05.01.2024 00:00 - 05.01.2024 00:15","13519","13513"
"05.01.2024 00:15 - 05.01.2024 00:30","13492","13575"
"05.01.2024 00:30 - 05.01.2024 00:45","13477","13545"
"05.01.2024 00:45 - 05.01.2024 01:00","13460","13487"
"05.01.2024 01:00 - 05.01.2024 01:15","13439","13468"
"05.01.2024 01:15 - 05.01.2024 01:30","13434","13542"
"05.01.2024 01:30 - 05.01.2024 01:45","13442","13565"
"05.01.2024 01:45 - 05.01.2024 02:00","13452","13565"
"05.01.2024 02:00 - 05.01.2024 02:15","13461","13549"
"05.01.2024 02:15 - 05.01.2024 02:30","13494","13555"
"05.01.2024 02:30 - 05.01.2024 02:45","13545","13674"
"05.01.2024 02:45 - 05.01.2024 03:00","13609","13672"
"05.01.2024 03:00 - 05.01.2024 03:15","13687","13788"
"05.01.2024 03:15 - 05.01.2024 03:30","13780","13768"
"05.01.2024 03:30 - 05.01.2024 03:45","13868","13831"
"05.01.2024 03:45 - 05.01.2024 04:00","14006","13925"
"05.01.2024 04:00 - 05.01.2024 04:15","14206","13943"
"05.01.2024 04:15 - 05.01.2024 04:30","14343","14017"
"05.01.2024 04:30 - 05.01.2024 04:45","14443","13974"
"05.01.2024 04:45 - 05.01.2024 05:00","14526","13942"
"05.01.2024 05:00 - 05.01.2024 05:15","14574","13805"
"05.01.2024 05:15 - 05.01.2024 05:30","14637","13964"
"05.01.2024 05:30 - 05.01.2024 05:45","14704","14039"
"05.01.2024 05:45 - 05.01.2024 06:00","14771","14062"
"05.01.2024 06:00 - 05.01.2024 06:15","14850","14069"
"05.01.2024 06:15 - 05.01.2024 06:30","14901","14039"
"05.01.2024 06:30 - 05.01.2024 06:45","14932","14081"
"05.01.2024 06:45 - 05.01.2024 07:00","14945","14133"
"05.01.2024 07:00 - 05.01.2024 07:15","14929","14088"
"05.01.2024 07:15 - 05.01.2024 07:30","14924","14057"
"05.01.2024 07:30 - 05.01.2024 07:45","14926","14066"
"05.01.2024 07:45 - 05.01.2024 08:00","14912","14046"
"05.01.2024 08:00 - 05.01.2024 08:15","14876","14040"
"05.01.2024 08:15 - 05.01.2024 08:30","14866","14043"
"05.01.2024 08:30 - 05.01.2024 08:45","14870","14076"
"05.01.2024 08:45 - 05.01.2024 09:00","14889","14078"
"05.01.2024 09:00 - 05.01.2024 09:15","14938","14089"
"05.01.2024 09:15 - 05.01.2024 09:30","14960","14001"
"05.01.2024 09:30 - 05.01.2024 09:45","14967","13883"
"05.01.2024 09:45 - 05.01.2024 10:00","14970","13961"
"05.01.2024 10:00 - 05.01.2024 10:15","14967","14122"
"05.01.2024 10:15 - 05.01.2024 10:30","14961","14162"
"05.01.2024 10:30 - 05.01.2024 10:45","14952","14124"
"05.01.2024 10:45 - 05.01.2024 11:00","14932","14124"
"05.01.2024 11:00 - 05.01.2024 11:15","14893","14067"
"05.01.2024 11:15 - 05.01.2024 11:30","14872","14035"
