"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|FI","Actual Total Load [MW] - BZN|FI"
"05.11.2024 09:45 - 05.11.2024 10:00","10433","10520"
"05.11.2024 10:00 - 05.11.2024 10:15","10459","10548"
"05.11.2024 10:15 - 05.11.2024 10:30","10453","10527"
"05.11.2024 10:30 - 05.11.2024 10:45","10430","10468"
"05.11.2024 10:45 - 05.11.2024 11:00","10385","10508"
"05.11.2024 11:00 - 05.11.2024 11:15","10299","10427"
"05.11.2024 11:15 - 05.11.2024 11:30","10258","10405"
"05.11.2024 11:30 - 05.11.2024 11:45","10241","10310"
"05.11.2024 11:45 - 05.11.2024 12:00","10241","10278"
"05.11.2024 12:00 - 05.11.2024 12:15","10272","10244"
"05.11.2024 12:15 - 05.11.2024 12:30","10284","10297"
"05.11.2024 12:30 - 05.11.2024 12:45","10287","10341"
"05.11.2024 12:45 - 05.11.2024 13:00","10289","10320"
"05.11.2024 13:00 - 05.11.2024 13:15","10284","10353"
"05.11.2024 13:15 - 05.11.2024 13:30","10290","10391"
"05.11.2024 13:30 - 05.11.2024 13:45","10304","10403"
"05.11.2024 13:45 - 05.11.2024 14:00","10320","10404"
"05.11.2024 14:00 - 05.11.2024 14:15","10339","10386"
"05.11.2024 14:15 - 05.11.2024 14:30","10364","10487"
"05.11.2024 14:30 - 05.11.2024 14:45","10388","10576"
"05.11.2024 14:45 - 05.11.2024 15:00","10433","10641"
"05.11.2024 15:00 - 05.11.2024 15:15","10514","10666"
"05.11.2024 15:15 - 05.11.2024 15:30","10547","10682"
"05.11.2024 15:30 - 05.11.2024 15:45","10556","10714"
"05.11.2024 15:45 - 05.11.2024 16:00","10536","10669"
"05.11.2024 16:00 - 05.11.2024 16:15","10471","10711"
"05.11.2024 16:15 - 05.11.2024 16:30","10440","10685"
"05.11.2024 16:30 - 05.11.2024 16:45","10425","10612"
"05.11.2024 16:45 - 05.11.2024 17:00","10417","10677"
"05.11.2024 17:00 - 05.11.2024 17:15","10429","10693"
"05.11.2024 17:15 - 05.11.2024 17:30","10419","10621"
"05.11.2024 17:30 - 05.11.2024 17:45","10394","10595"
"05.11.2024 17:45 - 05.11.2024 18:00","10369","10521"
"05.11.2024 18:00 - 05.11.2024 18:15","10344","10504"
"05.11.2024 18:15 - 05.11.2024 18:30","10301","10527"
"05.11.2024 18:30 - 05.11.2024 18:45","10251","10501"
"05.11.2024 18:45 - 05.11.2024 19:00","10168","10379"
"05.11.2024 19:00 - 05.11.2024 19:15","10025","10309"
"05.11.2024 19:15 - 05.11.2024 19:30","9951","10191"
"05.11.2024 19:30 - 05.11.2024 19:45","9915","10067"
"05.11.2024 19:45 - 05.11.2024 20:00","9915","9906"
"05.11.2024 20:00 - 05.11.2024 20:15","9980","10115"
"05.11.2024 20:15 - 05.11.2024 20:30","9992","10251"
"05.11.2024 20:30 - 05.11.2024 20:45","9970","10196"
"05.11.2024 20:45 - 05.11.2024 21:00","9958","10132"
"05.11.2024 21:00 - 05.11.2024 21:15","9962","10078"
"05.11.2024 21:15 - 05.11.2024 21:30","9918","9906"
"05.11.2024 21:30 - 05.11.2024 21:45","9852","9820"
"05.11.2024 21:45 - 05.11.2024 22:00","9724","9685"
"05.11.2024 22:00 - 05.11.2024 22:15","9490","9598"
"05.11.2024 22:15 - 05.11.2024 22:30","9370","9560"
"05.11.2024 22:30 - 05.11.2024 22:45","9321","9498"
"05.11.2024 22:45 - 05.11.2024 23:00","9290","9335"
"05.11.2024 23:00 - 05.11.2024 23:15","9304","9330"
"05.11.2024 23:15 - 05.11.2024 23:30","9298","9304"
"05.11.2024 23:30 - 05.11.2024 23:45","9289","9281"
"05.11.2024 23:45 - 06.11.2024 00:00","9266","9249"
"06.11.2024 00:00 - 06.11.2024 00:15","9224","9229"
"06.11.2024 00:15 - 06.11.2024 00:30","9199","9205"
"06.11.2024 00:30 - 06.11.2024 00:45","9185","9147"
"06.11.2024 00:45 - 06.11.2024 01:00","9173","9102"
"06.11.2024 01:00 - 06.11.2024 01:15","9166","9088"
"06.11.2024 01:15 - 06.11.2024 01:30","9161","9054"
"06.11.2024 01:30 - 06.11.2024 01:45","9161","9024"
"06.11.2024 01:45 - 06.11.2024 02:00","9158","9019"
"06.11.2024 02:00 - 06.11.2024 02:15","9144","9032"
"06.11.2024 02:15 - 06.11.2024 02:30","9156","9001"
"06.11.2024 02:30 - 06.11.2024 02:45","9191","8923"
"06.11.2024 02:45 - 06.11.2024 03:00","9232","9006"
"06.11.2024 03:00 - 06.11.2024 03:15","9278","9054"
"06.11.2024 03:15 - 06.11.2024 03:30","9351","9102"
"06.11.2024 03:30 - 06.11.2024 03:45","9437","9198"
"06.11.2024 03:45 - 06.11.2024 04:00","9563","9260"
"06.11.2024 04:00 - 06.11.2024 04:15","9752","9501"
"06.11.2024 04:15 - 06.11.2024 04:30","9884","9711"
"06.11.2024 04:30 - 06.11.2024 04:45","9982","9835"
"06.11.2024 04:45 - 06.11.2024 05:00","10082","9964"
"06.11.2024 05:00 - 06.11.2024 05:15","10184","9908"
"06.11.2024 05:15 - 06.11.2024 05:30","10253","10051"
"06.11.2024 05:30 - 06.11.2024 05:45","10298","10062"
"06.11.2024 05:45 - 06.11.2024 06:00","10312","9998"
"06.11.2024 06:00 - 06.11.2024 06:15","10276","9821"
"06.11.2024 06:15 - 06.11.2024 06:30","10267","9791"
"06.11.2024 06:30 - 06.11.2024 06:45","10271","9774"
"06.11.2024 06:45 - 06.11.2024 07:00","10267","9744"
"06.11.2024 07:00 - 06.11.2024 07:15","10259","9715"
"06.11.2024 07:15 - 06.11.2024 07:30","10253","9779"
"06.11.2024 07:30 - 06.11.2024 07:45","10249","9845"
"06.11.2024 07:45 - 06.11.2024 08:00","10244","9857"
"06.11.2024 08:00 - 06.11.2024 08:15","10237","9895"
"06.11.2024 08:15 - 06.11.2024 08:30","10233","9904"
"06.11.2024 08:30 - 06.11.2024 08:45","10229","9879"
"06.11.2024 08:45 - 06.11.2024 09:00","10227","9880"
"06.11.2024 09:00 - 06.11.2024 09:15","10228","9890"
"06.11.2024 09:15 - 06.11.2024 09:30","10226","9836"
"06.11.2024 09:30 - 06.11.2024 09:45","10221","9823"
"06.11.2024 09:45 - 06.11.2024 10:00","10217","9801"
"06.11.2024 10:00 - 06.11.2024 10:15","10216","9777"
"06.11.2024 10:15 - 06.11.2024 10:30","10208","9798"
"06.11.2024 10:30 - 06.11.2024 10:45","10195","9744"
"06.11.2024 10:45 - 06.11.2024 11:00","10176","9691"
"06.11.2024 11:00 - 06.11.2024 11:15","10144","9691"
"06.11.2024 11:15 - 06.11.2024 11:30","10124","9681"
"06.11.2024 11:30 - 06.11.2024 11:45","10111","9622"
"06.11.2024 11:45 - 06.11.2024 12:00","10096","9589"
"06.11.2024 12:00 - 06.11.2024 12:15","10078","9425"
"06.11.2024 12:15 - 06.11.2024 12:30","10071","9442"
"06.11.2024 12:30 - 06.11.2024 12:45","10074","9482"
"06.11.2024 12:45 - 06.11.2024 13:00","10081","9483"
"06.11.2024 13:00 - 06.11.2024 13:15","10090","9494"
"06.11.2024 13:15 - 06.11.2024 13:30","10111","9464"
"06.11.2024 13:30 - 06.11.2024 13:45","10137","9437"
"06.11.2024 13:45 - 06.11.2024 14:00","10184","9471"
"06.11.2024 14:00 - 06.11.2024 14:15","10266","9602"
"06.11.2024 14:15 - 06.11.2024 14:30","10312","9780"
"06.11.2024 14:30 - 06.11.2024 14:45","10338","9905"
"06.11.2024 14:45 - 06.11.2024 15:00","10350","10024"
"06.11.2024 15:00 - 06.11.2024 15:15","10334","10064"
"06.11.2024 15:15 - 06.11.2024 15:30","10339","10089"
"06.11.2024 15:30 - 06.11.2024 15:45","10355","10169"
"06.11.2024 15:45 - 06.11.2024 16:00","10379","10084"
"06.11.2024 16:00 - 06.11.2024 16:15","10424","10035"
"06.11.2024 16:15 - 06.11.2024 16:30","10442","10028"
"06.11.2024 16:30 - 06.11.2024 16:45","10442","10062"
"06.11.2024 16:45 - 06.11.2024 17:00","10431","10031"
"06.11.2024 17:00 - 06.11.2024 17:15","10400","10012"
"06.11.2024 17:15 - 06.11.2024 17:30","10377","10004"
"06.11.2024 17:30 - 06.11.2024 17:45","10353","10013"
"06.11.2024 17:45 - 06.11.2024 18:00","10334","10006"
"06.11.2024 18:00 - 06.11.2024 18:15","10333","10002"
"06.11.2024 18:15 - 06.11.2024 18:30","10296","10000"
"06.11.2024 18:30 - 06.11.2024 18:45","10245","9973"
"06.11.2024 18:45 - 06.11.2024 19:00","10151","9935"
"06.11.2024 19:00 - 06.11.2024 19:15","9983","9892"
"06.11.2024 19:15 - 06.11.2024 19:30","9898","9804"
"06.11.2024 19:30 - 06.11.2024 19:45","9858","9702"
"06.11.2024 19:45 - 06.11.2024 20:00","9859","9567"
"06.11.2024 20:00 - 06.11.2024 20:15","9940","9693"
"06.11.2024 20:15 - 06.11.2024 20:30","9953","9817"
"06.11.2024 20:30 - 06.11.2024 20:45","9923","9805"
"06.11.2024 20:45 - 06.11.2024 21:00","9893","9775"
"06.11.2024 21:00 - 06.11.2024 21:15","9857","9745"
"06.11.2024 21:15 - 06.11.2024 21:30","9797","9620"
"06.11.2024 21:30 - 06.11.2024 21:45","9728","9501"
"06.11.2024 21:45 - 06.11.2024 22:00","9607","9360"
"06.11.2024 22:00 - 06.11.2024 22:15","9400","9339"
"06.11.2024 22:15 - 06.11.2024 22:30","9291","9256"
"06.11.2024 22:30 - 06.11.2024 22:45","9245","9226"
"06.11.2024 22:45 - 06.11.2024 23:00","9216","9112"
"06.11.2024 23:00 - 06.11.2024 23:15","9047","9104"
"06.11.2024 23:15 - 06.11.2024 23:30","9040","9084"
"06.11.2024 23:30 - 06.11.2024 23:45","9028","9030"
"06.11.2024 23:45 - 07.11.2024 00:00","9000","9010"
"07.11.2024 00:00 - 07.11.2024 00:15","8947","9008"
"07.11.2024 00:15 - 07.11.2024 00:30","8916","8998"
"07.11.2024 00:30 - 07.11.2024 00:45","8899","8965"
"07.11.2024 00:45 - 07.11.2024 01:00","8885","8957"
"07.11.2024 01:00 - 07.11.2024 01:15","8880","8977"
"07.11.2024 01:15 - 07.11.2024 01:30","8873","8919"
"07.11.2024 01:30 - 07.11.2024 01:45","8871","8862"
"07.11.2024 01:45 - 07.11.2024 02:00","8863","8857"
"07.11.2024 02:00 - 07.11.2024 02:15","8837","8884"
"07.11.2024 02:15 - 07.11.2024 02:30","8847","8888"
"07.11.2024 02:30 - 07.11.2024 02:45","8884","8888"
"07.11.2024 02:45 - 07.11.2024 03:00","8928","8879"
"07.11.2024 03:00 - 07.11.2024 03:15","8974","8983"
"07.11.2024 03:15 - 07.11.2024 03:30","9057","9051"
"07.11.2024 03:30 - 07.11.2024 03:45","9159","9136"
"07.11.2024 03:45 - 07.11.2024 04:00","9323","9260"
"07.11.2024 04:00 - 07.11.2024 04:15","9589","9489"
"07.11.2024 04:15 - 07.11.2024 04:30","9751","9659"
"07.11.2024 04:30 - 07.11.2024 04:45","9849","9818"
"07.11.2024 04:45 - 07.11.2024 05:00","9924","9993"
"07.11.2024 05:00 - 07.11.2024 05:15","9951","10065"
"07.11.2024 05:15 - 07.11.2024 05:30","9984","10178"
"07.11.2024 05:30 - 07.11.2024 05:45","10017","10228"
"07.11.2024 05:45 - 07.11.2024 06:00","10021","10193"
"07.11.2024 06:00 - 07.11.2024 06:15","9987","10142"
"07.11.2024 06:15 - 07.11.2024 06:30","9978","10130"
"07.11.2024 06:30 - 07.11.2024 06:45","9981","10149"
"07.11.2024 06:45 - 07.11.2024 07:00","9983","10146"
"07.11.2024 07:00 - 07.11.2024 07:15","9990","10174"
"07.11.2024 07:15 - 07.11.2024 07:30","9993","10168"
"07.11.2024 07:30 - 07.11.2024 07:45","9994","10158"
"07.11.2024 07:45 - 07.11.2024 08:00","9995","10137"
"07.11.2024 08:00 - 07.11.2024 08:15","9997","10162"
"07.11.2024 08:15 - 07.11.2024 08:30","9997","10135"
"07.11.2024 08:30 - 07.11.2024 08:45","9995","10153"
"07.11.2024 08:45 - 07.11.2024 09:00","9991","10119"
"07.11.2024 09:00 - 07.11.2024 09:15","9985","10090"
"07.11.2024 09:15 - 07.11.2024 09:30","9979","10044"
"07.11.2024 09:30 - 07.11.2024 09:45","9971","10030"
"07.11.2024 09:45 - 07.11.2024 10:00","9963","10033"
"07.11.2024 10:00 - 07.11.2024 10:15","9957","10053"
"07.11.2024 10:15 - 07.11.2024 10:30","9945","10029"
"07.11.2024 10:30 - 07.11.2024 10:45","9930","10037"
"07.11.2024 10:45 - 07.11.2024 11:00","9905","10010"
"07.11.2024 11:00 - 07.11.2024 11:15","9865","9965"
"07.11.2024 11:15 - 07.11.2024 11:30","9842","9933"
"07.11.2024 11:30 - 07.11.2024 11:45","9830","9953"
"07.11.2024 11:45 - 07.11.2024 12:00","9824","9942"
"07.11.2024 12:00 - 07.11.2024 12:15","9829","9930"
"07.11.2024 12:15 - 07.11.2024 12:30","9829","9934"
"07.11.2024 12:30 - 07.11.2024 12:45","9830","10003"
"07.11.2024 12:45 - 07.11.2024 13:00","9825","9973"
"07.11.2024 13:00 - 07.11.2024 13:15","9807","9917"
"07.11.2024 13:15 - 07.11.2024 13:30","9814","9944"
"07.11.2024 13:30 - 07.11.2024 13:45","9836","9960"
"07.11.2024 13:45 - 07.11.2024 14:00","9875","9994"
"07.11.2024 14:00 - 07.11.2024 14:15","9942","10017"
"07.11.2024 14:15 - 07.11.2024 14:30","9991","10116"
"07.11.2024 14:30 - 07.11.2024 14:45","10029","10227"
"07.11.2024 14:45 - 07.11.2024 15:00","10076","10321"
"07.11.2024 15:00 - 07.11.2024 15:15","10137","10286"
"07.11.2024 15:15 - 07.11.2024 15:30","10173","10287"
"07.11.2024 15:30 - 07.11.2024 15:45","10186","10258"
"07.11.2024 15:45 - 07.11.2024 16:00","10191","10226"
"07.11.2024 16:00 - 07.11.2024 16:15","10173","10200"
"07.11.2024 16:15 - 07.11.2024 16:30","10163","10220"
"07.11.2024 16:30 - 07.11.2024 16:45","10154","10226"
"07.11.2024 16:45 - 07.11.2024 17:00","10138","10252"
"07.11.2024 17:00 - 07.11.2024 17:15","10117","10245"
"07.11.2024 17:15 - 07.11.2024 17:30","10094","10280"
"07.11.2024 17:30 - 07.11.2024 17:45","10069","10264"
"07.11.2024 17:45 - 07.11.2024 18:00","10042","10224"
"07.11.2024 18:00 - 07.11.2024 18:15","10016","10213"
"07.11.2024 18:15 - 07.11.2024 18:30","9980","10210"
"07.11.2024 18:30 - 07.11.2024 18:45","9941","10127"
"07.11.2024 18:45 - 07.11.2024 19:00","9880","10033"
"07.11.2024 19:00 - 07.11.2024 19:15","9780","9953"
"07.11.2024 19:15 - 07.11.2024 19:30","9730","9894"
"07.11.2024 19:30 - 07.11.2024 19:45","9707","9742"
"07.11.2024 19:45 - 07.11.2024 20:00","9711","9631"
"07.11.2024 20:00 - 07.11.2024 20:15","9765","9781"
"07.11.2024 20:15 - 07.11.2024 20:30","9780","9882"
"07.11.2024 20:30 - 07.11.2024 20:45","9766","9873"
"07.11.2024 20:45 - 07.11.2024 21:00","9772","9802"
"07.11.2024 21:00 - 07.11.2024 21:15","9808","9736"
"07.11.2024 21:15 - 07.11.2024 21:30","9777","9596"
"07.11.2024 21:30 - 07.11.2024 21:45","9714","9482"
"07.11.2024 21:45 - 07.11.2024 22:00","9578","9348"
"07.11.2024 22:00 - 07.11.2024 22:15","9317","9294"
"07.11.2024 22:15 - 07.11.2024 22:30","9185","9249"
"07.11.2024 22:30 - 07.11.2024 22:45","9134","9161"
"07.11.2024 22:45 - 07.11.2024 23:00","9101","9079"
"07.11.2024 23:00 - 07.11.2024 23:15","9029","9114"
"07.11.2024 23:15 - 07.11.2024 23:30","9022","9080"
"07.11.2024 23:30 - 07.11.2024 23:45","9013","9022"
"07.11.2024 23:45 - 08.11.2024 00:00","8990","8969"
"08.11.2024 00:00 - 08.11.2024 00:15","8948","8960"
"08.11.2024 00:15 - 08.11.2024 00:30","8922","8901"
"08.11.2024 00:30 - 08.11.2024 00:45","8906","8891"
"08.11.2024 00:45 - 08.11.2024 01:00","8889","8872"
"08.11.2024 01:00 - 08.11.2024 01:15","8869","8915"
"08.11.2024 01:15 - 08.11.2024 01:30","8861","8897"
"08.11.2024 01:30 - 08.11.2024 01:45","8863","8916"
"08.11.2024 01:45 - 08.11.2024 02:00","8868","8945"
"08.11.2024 02:00 - 08.11.2024 02:15","8873","8966"
"08.11.2024 02:15 - 08.11.2024 02:30","8895","8939"
"08.11.2024 02:30 - 08.11.2024 02:45","8933","8910"
"08.11.2024 02:45 - 08.11.2024 03:00","8968","8967"
"08.11.2024 03:00 - 08.11.2024 03:15","8989","9060"
"08.11.2024 03:15 - 08.11.2024 03:30","9061","9103"
"08.11.2024 03:30 - 08.11.2024 03:45","9168","9154"
"08.11.2024 03:45 - 08.11.2024 04:00","9322","9306"
"08.11.2024 04:00 - 08.11.2024 04:15","9563","9616"
"08.11.2024 04:15 - 08.11.2024 04:30","9728","9838"
"08.11.2024 04:30 - 08.11.2024 04:45","9844","10008"
"08.11.2024 04:45 - 08.11.2024 05:00","9965","10150"
"08.11.2024 05:00 - 08.11.2024 05:15","10091","10227"
"08.11.2024 05:15 - 08.11.2024 05:30","10170","10317"
"08.11.2024 05:30 - 08.11.2024 05:45","10218","10380"
"08.11.2024 05:45 - 08.11.2024 06:00","10217","10399"
"08.11.2024 06:00 - 08.11.2024 06:15","10137","10379"
"08.11.2024 06:15 - 08.11.2024 06:30","10114","10375"
"08.11.2024 06:30 - 08.11.2024 06:45","10119","10382"
"08.11.2024 06:45 - 08.11.2024 07:00","10129","10380"
"08.11.2024 07:00 - 08.11.2024 07:15","10159","10442"
"08.11.2024 07:15 - 08.11.2024 07:30","10170","10459"
"08.11.2024 07:30 - 08.11.2024 07:45","10171","10488"
"08.11.2024 07:45 - 08.11.2024 08:00","10168","10490"
"08.11.2024 08:00 - 08.11.2024 08:15","10156","10563"
"08.11.2024 08:15 - 08.11.2024 08:30","10148","10549"
"08.11.2024 08:30 - 08.11.2024 08:45","10142","10511"
"08.11.2024 08:45 - 08.11.2024 09:00","10135","10501"
"08.11.2024 09:00 - 08.11.2024 09:15","10130","10577"
"08.11.2024 09:15 - 08.11.2024 09:30","10121","10550"
"08.11.2024 09:30 - 08.11.2024 09:45","10109","10546"
"08.11.2024 09:45 - 08.11.2024 10:00","10094","10522"
"08.11.2024 10:00 - 08.11.2024 10:15","10075","10443"
"08.11.2024 10:15 - 08.11.2024 10:30","10057","10396"
"08.11.2024 10:30 - 08.11.2024 10:45","10041","10395"
"08.11.2024 10:45 - 08.11.2024 11:00","10022","10366"
"08.11.2024 11:00 - 08.11.2024 11:15","10001","10307"
"08.11.2024 11:15 - 08.11.2024 11:30","9982","10194"
"08.11.2024 11:30 - 08.11.2024 11:45","9967","10153"
"08.11.2024 11:45 - 08.11.2024 12:00","9949","10130"
"08.11.2024 12:00 - 08.11.2024 12:15","9923","10015"
"08.11.2024 12:15 - 08.11.2024 12:30","9912","10028"
"08.11.2024 12:30 - 08.11.2024 12:45","9912","10073"
"08.11.2024 12:45 - 08.11.2024 13:00","9913","10095"
"08.11.2024 13:00 - 08.11.2024 13:15","9916","10113"
"08.11.2024 13:15 - 08.11.2024 13:30","9933","10127"
"08.11.2024 13:30 - 08.11.2024 13:45","9960","10169"
"08.11.2024 13:45 - 08.11.2024 14:00","10006","10211"
"08.11.2024 14:00 - 08.11.2024 14:15","10084","10233"
"08.11.2024 14:15 - 08.11.2024 14:30","10136","10383"
"08.11.2024 14:30 - 08.11.2024 14:45","10171","10518"
"08.11.2024 14:45 - 08.11.2024 15:00","10209","10498"
"08.11.2024 15:00 - 08.11.2024 15:15","10254","10544"
"08.11.2024 15:15 - 08.11.2024 15:30","10277","10540"
"08.11.2024 15:30 - 08.11.2024 15:45","10285","10500"
"08.11.2024 15:45 - 08.11.2024 16:00","10277","10515"
"08.11.2024 16:00 - 08.11.2024 16:15","10242","10630"
"08.11.2024 16:15 - 08.11.2024 16:30","10222","10654"
"08.11.2024 16:30 - 08.11.2024 16:45","10207","10645"
"08.11.2024 16:45 - 08.11.2024 17:00","10191","10619"
"08.11.2024 17:00 - 08.11.2024 17:15","10183","10564"
"08.11.2024 17:15 - 08.11.2024 17:30","10160","10582"
"08.11.2024 17:30 - 08.11.2024 17:45","10126","10565"
"08.11.2024 17:45 - 08.11.2024 18:00","10088","10497"
"08.11.2024 18:00 - 08.11.2024 18:15","10043","10432"
"08.11.2024 18:15 - 08.11.2024 18:30","9991","10363"
"08.11.2024 18:30 - 08.11.2024 18:45","9939","10264"
"08.11.2024 18:45 - 08.11.2024 19:00","9861","10184"
"08.11.2024 19:00 - 08.11.2024 19:15","9737","10015"
"08.11.2024 19:15 - 08.11.2024 19:30","9671","9952"
"08.11.2024 19:30 - 08.11.2024 19:45","9635","9828"
"08.11.2024 19:45 - 08.11.2024 20:00","9635","9698"
"08.11.2024 20:00 - 08.11.2024 20:15","9699","9787"
"08.11.2024 20:15 - 08.11.2024 20:30","9706","9894"
"08.11.2024 20:30 - 08.11.2024 20:45","9681","9876"
"08.11.2024 20:45 - 08.11.2024 21:00","9645","9847"
"08.11.2024 21:00 - 08.11.2024 21:15","9584","9802"
"08.11.2024 21:15 - 08.11.2024 21:30","9534","9678"
"08.11.2024 21:30 - 08.11.2024 21:45","9491","9513"
"08.11.2024 21:45 - 08.11.2024 22:00","9430","9364"
"08.11.2024 22:00 - 08.11.2024 22:15","9340","9339"
"08.11.2024 22:15 - 08.11.2024 22:30","9290","9292"
"08.11.2024 22:30 - 08.11.2024 22:45","9266","9163"
"08.11.2024 22:45 - 08.11.2024 23:00","9253","9052"
"08.11.2024 23:00 - 08.11.2024 23:15","9134","9044"
"08.11.2024 23:15 - 08.11.2024 23:30","9125","8988"
"08.11.2024 23:30 - 08.11.2024 23:45","9110","8896"
"08.11.2024 23:45 - 09.11.2024 00:00","9079","8821"
"09.11.2024 00:00 - 09.11.2024 00:15","9025","8806"
"09.11.2024 00:15 - 09.11.2024 00:30","8986","8785"
"09.11.2024 00:30 - 09.11.2024 00:45","8957","8714"
"09.11.2024 00:45 - 09.11.2024 01:00","8921","8662"
"09.11.2024 01:00 - 09.11.2024 01:15","8879","8605"
"09.11.2024 01:15 - 09.11.2024 01:30","8851","8591"
"09.11.2024 01:30 - 09.11.2024 01:45","8834","8590"
"09.11.2024 01:45 - 09.11.2024 02:00","8820","8557"
"09.11.2024 02:00 - 09.11.2024 02:15","8808","8545"
"09.11.2024 02:15 - 09.11.2024 02:30","8810","8514"
"09.11.2024 02:30 - 09.11.2024 02:45","8822","8464"
"09.11.2024 02:45 - 09.11.2024 03:00","8844","8464"
"09.11.2024 03:00 - 09.11.2024 03:15","8878","8483"
"09.11.2024 03:15 - 09.11.2024 03:30","8916","8489"
"09.11.2024 03:30 - 09.11.2024 03:45","8961","8531"
"09.11.2024 03:45 - 09.11.2024 04:00","9020","8532"
"09.11.2024 04:00 - 09.11.2024 04:15","9108","8667"
"09.11.2024 04:15 - 09.11.2024 04:30","9165","8743"
"09.11.2024 04:30 - 09.11.2024 04:45","9204","8773"
"09.11.2024 04:45 - 09.11.2024 05:00","9233","8787"
"09.11.2024 05:00 - 09.11.2024 05:15","9243","8843"
"09.11.2024 05:15 - 09.11.2024 05:30","9263","8909"
"09.11.2024 05:30 - 09.11.2024 05:45","9290","8934"
"09.11.2024 05:45 - 09.11.2024 06:00","9307","8950"
"09.11.2024 06:00 - 09.11.2024 06:15","9309","8961"
"09.11.2024 06:15 - 09.11.2024 06:30","9334","8958"
"09.11.2024 06:30 - 09.11.2024 06:45","9371","8972"
"09.11.2024 06:45 - 09.11.2024 07:00","9425","8982"
"09.11.2024 07:00 - 09.11.2024 07:15","9510","9010"
"09.11.2024 07:15 - 09.11.2024 07:30","9566","9055"
"09.11.2024 07:30 - 09.11.2024 07:45","9604","9095"
"09.11.2024 07:45 - 09.11.2024 08:00","9638","9135"
"09.11.2024 08:00 - 09.11.2024 08:15","9663","9222"
"09.11.2024 08:15 - 09.11.2024 08:30","9686","9211"
"09.11.2024 08:30 - 09.11.2024 08:45","9706","9254"
"09.11.2024 08:45 - 09.11.2024 09:00","9721","9285"
"09.11.2024 09:00 - 09.11.2024 09:15","9732","9339"
"09.11.2024 09:15 - 09.11.2024 09:30","9737","9332"
"09.11.2024 09:30 - 09.11.2024 09:45","9738","9304"
"09.11.2024 09:45 - 09.11.2024 10:00","9731","9258"
"09.11.2024 10:00 - 09.11.2024 10:15","9712","9230"
"09.11.2024 10:15 - 09.11.2024 10:30","9700","9199"
"09.11.2024 10:30 - 09.11.2024 10:45","9689","9180"
"09.11.2024 10:45 - 09.11.2024 11:00","9677","9156"
"09.11.2024 11:00 - 09.11.2024 11:15","9662","9132"
"09.11.2024 11:15 - 09.11.2024 11:30","9648","9153"
"09.11.2024 11:30 - 09.11.2024 11:45","9637","9126"
"09.11.2024 11:45 - 09.11.2024 12:00","9621","9144"
"09.11.2024 12:00 - 09.11.2024 12:15","9593","9058"
"09.11.2024 12:15 - 09.11.2024 12:30","9584","9081"
"09.11.2024 12:30 - 09.11.2024 12:45","9591","9072"
"09.11.2024 12:45 - 09.11.2024 13:00","9593","9095"
"09.11.2024 13:00 - 09.11.2024 13:15","9581","9062"
"09.11.2024 13:15 - 09.11.2024 13:30","9611","9095"
"09.11.2024 13:30 - 09.11.2024 13:45","9665","9178"
"09.11.2024 13:45 - 09.11.2024 14:00","9763","9219"
"09.11.2024 14:00 - 09.11.2024 14:15","9934","9315"
"09.11.2024 14:15 - 09.11.2024 14:30","10039","9424"
"09.11.2024 14:30 - 09.11.2024 14:45","10107","9523"
"09.11.2024 14:45 - 09.11.2024 15:00","10167","9539"
"09.11.2024 15:00 - 09.11.2024 15:15","10208","9609"
"09.11.2024 15:15 - 09.11.2024 15:30","10246","9615"
"09.11.2024 15:30 - 09.11.2024 15:45","10274","9630"
"09.11.2024 15:45 - 09.11.2024 16:00","10295","9621"
"09.11.2024 16:00 - 09.11.2024 16:15","10302","9657"
"09.11.2024 16:15 - 09.11.2024 16:30","10306","9710"
"09.11.2024 16:30 - 09.11.2024 16:45","10306","9705"
"09.11.2024 16:45 - 09.11.2024 17:00","10296","9688"
"09.11.2024 17:00 - 09.11.2024 17:15","10276","9643"
"09.11.2024 17:15 - 09.11.2024 17:30","10255","9640"
"09.11.2024 17:30 - 09.11.2024 17:45","10229","9598"
"09.11.2024 17:45 - 09.11.2024 18:00","10204","9518"
"09.11.2024 18:00 - 09.11.2024 18:15","10188","9460"
"09.11.2024 18:15 - 09.11.2024 18:30","10144","9385"
"09.11.2024 18:30 - 09.11.2024 18:45","10091","9321"
"09.11.2024 18:45 - 09.11.2024 19:00","9994","9223"
"09.11.2024 19:00 - 09.11.2024 19:15","9820","9109"
"09.11.2024 19:15 - 09.11.2024 19:30","9738","9034"
"09.11.2024 19:30 - 09.11.2024 19:45","9705","8954"
"09.11.2024 19:45 - 09.11.2024 20:00","9720","8878"
"09.11.2024 20:00 - 09.11.2024 20:15","9823","9013"
"09.11.2024 20:15 - 09.11.2024 20:30","9855","9136"
"09.11.2024 20:30 - 09.11.2024 20:45","9844","9158"
"09.11.2024 20:45 - 09.11.2024 21:00","9837","9130"
"09.11.2024 21:00 - 09.11.2024 21:15","9832","9153"
"09.11.2024 21:15 - 09.11.2024 21:30","9795","9064"
"09.11.2024 21:30 - 09.11.2024 21:45","9744","8941"
"09.11.2024 21:45 - 09.11.2024 22:00","9643","8844"
"09.11.2024 22:00 - 09.11.2024 22:15","9457","8873"
"09.11.2024 22:15 - 09.11.2024 22:30","9361","8845"
