"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"05.01.2024 00:00 - 05.01.2024 00:15","8814","8244"
"05.01.2024 00:15 - 05.01.2024 00:30","8674","8227"
"05.01.2024 00:30 - 05.01.2024 00:45","8570","7996"
"05.01.2024 00:45 - 05.01.2024 01:00","8456","7968"
"05.01.2024 01:00 - 05.01.2024 01:15","8422","7933"
"05.01.2024 01:15 - 05.01.2024 01:30","8346","7789"
"05.01.2024 01:30 - 05.01.2024 01:45","8294","7796"
"05.01.2024 01:45 - 05.01.2024 02:00","8243","7757"
"05.01.2024 02:00 - 05.01.2024 02:15","8197","7663"
"05.01.2024 02:15 - 05.01.2024 02:30","8166","7643"
"05.01.2024 02:30 - 05.01.2024 02:45","8125","7532"
"05.01.2024 02:45 - 05.01.2024 03:00","8116","7797"
"05.01.2024 03:00 - 05.01.2024 03:15","8118","7662"
"05.01.2024 03:15 - 05.01.2024 03:30","8153","7780"
"05.01.2024 03:30 - 05.01.2024 03:45","8176","7705"
"05.01.2024 03:45 - 05.01.2024 04:00","8223","7764"
"05.01.2024 04:00 - 05.01.2024 04:15","8268","7847"
"05.01.2024 04:15 - 05.01.2024 04:30","8366","8151"
"05.01.2024 04:30 - 05.01.2024 04:45","8454","8112"
"05.01.2024 04:45 - 05.01.2024 05:00","8591","8386"
"05.01.2024 05:00 - 05.01.2024 05:15","8747","8604"
"05.01.2024 05:15 - 05.01.2024 05:30","8937","8784"
"05.01.2024 05:30 - 05.01.2024 05:45","9129","8859"
"05.01.2024 05:45 - 05.01.2024 06:00","9319","9075"
"05.01.2024 06:00 - 05.01.2024 06:15","9321","9374"
"05.01.2024 06:15 - 05.01.2024 06:30","9507","9527"
"05.01.2024 06:30 - 05.01.2024 06:45","9726","9759"
"05.01.2024 06:45 - 05.01.2024 07:00","9896","9862"
"05.01.2024 07:00 - 05.01.2024 07:15","10202","10085"
"05.01.2024 07:15 - 05.01.2024 07:30","10322","10194"
"05.01.2024 07:30 - 05.01.2024 07:45","10398","10359"
"05.01.2024 07:45 - 05.01.2024 08:00","10459","10340"
"05.01.2024 08:00 - 05.01.2024 08:15","10641","10375"
"05.01.2024 08:15 - 05.01.2024 08:30","10723","10475"
"05.01.2024 08:30 - 05.01.2024 08:45","10803","10582"
"05.01.2024 08:45 - 05.01.2024 09:00","10819","10609"
"05.01.2024 09:00 - 05.01.2024 09:15","10778","10652"
"05.01.2024 09:15 - 05.01.2024 09:30","10806","10730"
"05.01.2024 09:30 - 05.01.2024 09:45","10816","10745"
"05.01.2024 09:45 - 05.01.2024 10:00","10819","10797"
"05.01.2024 10:00 - 05.01.2024 10:15","10826","10828"
"05.01.2024 10:15 - 05.01.2024 10:30","10860","10846"
"05.01.2024 10:30 - 05.01.2024 10:45","10939","10909"
"05.01.2024 10:45 - 05.01.2024 11:00","11009","10909"
"05.01.2024 11:00 - 05.01.2024 11:15","10987","10915"
"05.01.2024 11:15 - 05.01.2024 11:30","10890","10962"
