"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|BE","Actual Total Load [MW] - BZN|BE"
"23.10.2024 20:30 - 23.10.2024 20:45","9127","9154"
"23.10.2024 20:45 - 23.10.2024 21:00","9029","8967"
"23.10.2024 21:00 - 23.10.2024 21:15","9000","8895"
"23.10.2024 21:15 - 23.10.2024 21:30","8843","8788"
"23.10.2024 21:30 - 23.10.2024 21:45","8721","8662"
"23.10.2024 21:45 - 23.10.2024 22:00","8610","8460"
"23.10.2024 22:00 - 23.10.2024 22:15","8510","8365"
"23.10.2024 22:15 - 23.10.2024 22:30","8344","8284"
"23.10.2024 22:30 - 23.10.2024 22:45","8249","8176"
"23.10.2024 22:45 - 23.10.2024 23:00","8146","8071"
"23.10.2024 23:00 - 23.10.2024 23:15","8003","7949"
"23.10.2024 23:15 - 23.10.2024 23:30","7903","7822"
"23.10.2024 23:30 - 23.10.2024 23:45","7833","7751"
"23.10.2024 23:45 - 24.10.2024 00:00","7752","7625"
"24.10.2024 00:00 - 24.10.2024 00:15","7604","7497"
"24.10.2024 00:15 - 24.10.2024 00:30","7555","7409"
"24.10.2024 00:30 - 24.10.2024 00:45","7545","7368"
"24.10.2024 00:45 - 24.10.2024 01:00","7507","7312"
"24.10.2024 01:00 - 24.10.2024 01:15","7536","7388"
"24.10.2024 01:15 - 24.10.2024 01:30","7510","7375"
"24.10.2024 01:30 - 24.10.2024 01:45","7527","7363"
"24.10.2024 01:45 - 24.10.2024 02:00","7498","7457"
"24.10.2024 02:00 - 24.10.2024 02:15","7561","7521"
"24.10.2024 02:15 - 24.10.2024 02:30","7571","7591"
"24.10.2024 02:30 - 24.10.2024 02:45","7606","7682"
"24.10.2024 02:45 - 24.10.2024 03:00","7628","7703"
"24.10.2024 03:00 - 24.10.2024 03:15","7860","7832"
"24.10.2024 03:15 - 24.10.2024 03:30","7970","8036"
"24.10.2024 03:30 - 24.10.2024 03:45","8110","8097"
"24.10.2024 03:45 - 24.10.2024 04:00","8262","8278"
"24.10.2024 04:00 - 24.10.2024 04:15","8599","8756"
"24.10.2024 04:15 - 24.10.2024 04:30","8863","8986"
"24.10.2024 04:30 - 24.10.2024 04:45","9127","9196"
"24.10.2024 04:45 - 24.10.2024 05:00","9400","9482"
"24.10.2024 05:00 - 24.10.2024 05:15","9749","9813"
"24.10.2024 05:15 - 24.10.2024 05:30","9995","10025"
"24.10.2024 05:30 - 24.10.2024 05:45","10170","10324"
"24.10.2024 05:45 - 24.10.2024 06:00","10271","10513"
"24.10.2024 06:00 - 24.10.2024 06:15","10444","10584"
"24.10.2024 06:15 - 24.10.2024 06:30","10507","10630"
"24.10.2024 06:30 - 24.10.2024 06:45","10653","10787"
"24.10.2024 06:45 - 24.10.2024 07:00","10768","10946"
"24.10.2024 07:00 - 24.10.2024 07:15","10691","11092"
"24.10.2024 07:15 - 24.10.2024 07:30","10731","11297"
"24.10.2024 07:30 - 24.10.2024 07:45","10763","11300"
"24.10.2024 07:45 - 24.10.2024 08:00","10778","11277"
"24.10.2024 08:00 - 24.10.2024 08:15","10704","11095"
"24.10.2024 08:15 - 24.10.2024 08:30","10699","11024"
"24.10.2024 08:30 - 24.10.2024 08:45","10740","11031"
"24.10.2024 08:45 - 24.10.2024 09:00","10768","11001"
"24.10.2024 09:00 - 24.10.2024 09:15","10840","11014"
"24.10.2024 09:15 - 24.10.2024 09:30","10843","11131"
"24.10.2024 09:30 - 24.10.2024 09:45","10864","11184"
"24.10.2024 09:45 - 24.10.2024 10:00","10816","11178"
"24.10.2024 10:00 - 24.10.2024 10:15","10746","11031"
"24.10.2024 10:15 - 24.10.2024 10:30","10598","10859"
"24.10.2024 10:30 - 24.10.2024 10:45","10586","10981"
"24.10.2024 10:45 - 24.10.2024 11:00","10535","10952"
"24.10.2024 11:00 - 24.10.2024 11:15","10518","10862"
"24.10.2024 11:15 - 24.10.2024 11:30","10413","10826"
"24.10.2024 11:30 - 24.10.2024 11:45","10360","10765"
"24.10.2024 11:45 - 24.10.2024 12:00","10282","10691"
"24.10.2024 12:00 - 24.10.2024 12:15","10266","10689"
"24.10.2024 12:15 - 24.10.2024 12:30","10233","10555"
"24.10.2024 12:30 - 24.10.2024 12:45","10169","10500"
"24.10.2024 12:45 - 24.10.2024 13:00","10128","10456"
"24.10.2024 13:00 - 24.10.2024 13:15","10211","10421"
"24.10.2024 13:15 - 24.10.2024 13:30","10125","10483"
"24.10.2024 13:30 - 24.10.2024 13:45","10061","10354"
"24.10.2024 13:45 - 24.10.2024 14:00","10003","10192"
"24.10.2024 14:00 - 24.10.2024 14:15","9972","10266"
"24.10.2024 14:15 - 24.10.2024 14:30","10003","10268"
"24.10.2024 14:30 - 24.10.2024 14:45","10058","10283"
"24.10.2024 14:45 - 24.10.2024 15:00","10092","10272"
"24.10.2024 15:00 - 24.10.2024 15:15","10206","10407"
"24.10.2024 15:15 - 24.10.2024 15:30","10240","10247"
"24.10.2024 15:30 - 24.10.2024 15:45","10312","10338"
"24.10.2024 15:45 - 24.10.2024 16:00","10386","10407"
"24.10.2024 16:00 - 24.10.2024 16:15","10600","10465"
"24.10.2024 16:15 - 24.10.2024 16:30","10637","10630"
"24.10.2024 16:30 - 24.10.2024 16:45","10666","10688"
"24.10.2024 16:45 - 24.10.2024 17:00","10698","10782"
"24.10.2024 17:00 - 24.10.2024 17:15","10739","10724"
"24.10.2024 17:15 - 24.10.2024 17:30","10696","10666"
"24.10.2024 17:30 - 24.10.2024 17:45","10665","10569"
"24.10.2024 17:45 - 24.10.2024 18:00","10621","10492"
"24.10.2024 18:00 - 24.10.2024 18:15","10392","10237"
"24.10.2024 18:15 - 24.10.2024 18:30","10251","10105"
"24.10.2024 18:30 - 24.10.2024 18:45","10112","10040"
"24.10.2024 18:45 - 24.10.2024 19:00","9968","9873"
"24.10.2024 19:00 - 24.10.2024 19:15","9776","9652"
"24.10.2024 19:15 - 24.10.2024 19:30","9608","9602"
"24.10.2024 19:30 - 24.10.2024 19:45","9473","9388"
"24.10.2024 19:45 - 24.10.2024 20:00","9341","9223"
"24.10.2024 20:00 - 24.10.2024 20:15","9221","9126"
"24.10.2024 20:15 - 24.10.2024 20:30","9149","9054"
"24.10.2024 20:30 - 24.10.2024 20:45","9103","8969"
"24.10.2024 20:45 - 24.10.2024 21:00","9013","8863"
"24.10.2024 21:00 - 24.10.2024 21:15","8965","8908"
"24.10.2024 21:15 - 24.10.2024 21:30","8803","8754"
"24.10.2024 21:30 - 24.10.2024 21:45","8679","8653"
"24.10.2024 21:45 - 24.10.2024 22:00","8561","8462"
"24.10.2024 22:00 - 24.10.2024 22:15","8471","8321"
"24.10.2024 22:15 - 24.10.2024 22:30","8319","8209"
"24.10.2024 22:30 - 24.10.2024 22:45","8224","7999"
"24.10.2024 22:45 - 24.10.2024 23:00","8122","7926"
"24.10.2024 23:00 - 24.10.2024 23:15","8127","7796"
"24.10.2024 23:15 - 24.10.2024 23:30","8026","7686"
"24.10.2024 23:30 - 24.10.2024 23:45","7957","7609"
"24.10.2024 23:45 - 25.10.2024 00:00","7866","7541"
"25.10.2024 00:00 - 25.10.2024 00:15","7654","7609"
"25.10.2024 00:15 - 25.10.2024 00:30","7599","7511"
"25.10.2024 00:30 - 25.10.2024 00:45","7583","7453"
"25.10.2024 00:45 - 25.10.2024 01:00","7537","7385"
"25.10.2024 01:00 - 25.10.2024 01:15","7534","7377"
"25.10.2024 01:15 - 25.10.2024 01:30","7506","7390"
"25.10.2024 01:30 - 25.10.2024 01:45","7521","7339"
"25.10.2024 01:45 - 25.10.2024 02:00","7488","7338"
"25.10.2024 02:00 - 25.10.2024 02:15","7479","7381"
"25.10.2024 02:15 - 25.10.2024 02:30","7489","7374"
"25.10.2024 02:30 - 25.10.2024 02:45","7521","7420"
"25.10.2024 02:45 - 25.10.2024 03:00","7550","7527"
"25.10.2024 03:00 - 25.10.2024 03:15","7750","7697"
"25.10.2024 03:15 - 25.10.2024 03:30","7854","7688"
"25.10.2024 03:30 - 25.10.2024 03:45","8001","7807"
"25.10.2024 03:45 - 25.10.2024 04:00","8149","7946"
"25.10.2024 04:00 - 25.10.2024 04:15","8611","8323"
"25.10.2024 04:15 - 25.10.2024 04:30","8862","8599"
"25.10.2024 04:30 - 25.10.2024 04:45","9121","8811"
"25.10.2024 04:45 - 25.10.2024 05:00","9400","9051"
"25.10.2024 05:00 - 25.10.2024 05:15","9783","9333"
"25.10.2024 05:15 - 25.10.2024 05:30","10022","9529"
"25.10.2024 05:30 - 25.10.2024 05:45","10218","9750"
"25.10.2024 05:45 - 25.10.2024 06:00","10320","9908"
"25.10.2024 06:00 - 25.10.2024 06:15","10373","10153"
"25.10.2024 06:15 - 25.10.2024 06:30","10431","10244"
"25.10.2024 06:30 - 25.10.2024 06:45","10568","10342"
"25.10.2024 06:45 - 25.10.2024 07:00","10687","10442"
"25.10.2024 07:00 - 25.10.2024 07:15","10689","10621"
"25.10.2024 07:15 - 25.10.2024 07:30","10733","10612"
"25.10.2024 07:30 - 25.10.2024 07:45","10779","10642"
"25.10.2024 07:45 - 25.10.2024 08:00","10812","10709"
"25.10.2024 08:00 - 25.10.2024 08:15","10737","10651"
"25.10.2024 08:15 - 25.10.2024 08:30","10722","10635"
"25.10.2024 08:30 - 25.10.2024 08:45","10767","10762"
"25.10.2024 08:45 - 25.10.2024 09:00","10798","10752"
"25.10.2024 09:00 - 25.10.2024 09:15","10736","10692"
"25.10.2024 09:15 - 25.10.2024 09:30","10734","10861"
"25.10.2024 09:30 - 25.10.2024 09:45","10745","10950"
"25.10.2024 09:45 - 25.10.2024 10:00","10710","10892"
"25.10.2024 10:00 - 25.10.2024 10:15","10600","10838"
"25.10.2024 10:15 - 25.10.2024 10:30","10434","10823"
"25.10.2024 10:30 - 25.10.2024 10:45","10417","10906"
"25.10.2024 10:45 - 25.10.2024 11:00","10377","10920"
"25.10.2024 11:00 - 25.10.2024 11:15","10410","10829"
"25.10.2024 11:15 - 25.10.2024 11:30","10316","10794"
"25.10.2024 11:30 - 25.10.2024 11:45","10275","10814"
"25.10.2024 11:45 - 25.10.2024 12:00","10191","10746"
"25.10.2024 12:00 - 25.10.2024 12:15","10196","10471"
"25.10.2024 12:15 - 25.10.2024 12:30","10160","10309"
"25.10.2024 12:30 - 25.10.2024 12:45","10098","10228"
"25.10.2024 12:45 - 25.10.2024 13:00","10056","10200"
"25.10.2024 13:00 - 25.10.2024 13:15","10066","10212"
"25.10.2024 13:15 - 25.10.2024 13:30","9985","10175"
"25.10.2024 13:30 - 25.10.2024 13:45","9910","10040"
"25.10.2024 13:45 - 25.10.2024 14:00","9850","9956"
"25.10.2024 14:00 - 25.10.2024 14:15","9860","9840"
"25.10.2024 14:15 - 25.10.2024 14:30","9891","9683"
"25.10.2024 14:30 - 25.10.2024 14:45","9942","9770"
"25.10.2024 14:45 - 25.10.2024 15:00","9970","9803"
"25.10.2024 15:00 - 25.10.2024 15:15","10008","10013"
"25.10.2024 15:15 - 25.10.2024 15:30","10038","10020"
"25.10.2024 15:30 - 25.10.2024 15:45","10120","10039"
"25.10.2024 15:45 - 25.10.2024 16:00","10196","9996"
"25.10.2024 16:00 - 25.10.2024 16:15","10274","9976"
"25.10.2024 16:15 - 25.10.2024 16:30","10317","10102"
"25.10.2024 16:30 - 25.10.2024 16:45","10352","10138"
"25.10.2024 16:45 - 25.10.2024 17:00","10406","10175"
"25.10.2024 17:00 - 25.10.2024 17:15","10393","10194"
"25.10.2024 17:15 - 25.10.2024 17:30","10342","10150"
"25.10.2024 17:30 - 25.10.2024 17:45","10303","10144"
"25.10.2024 17:45 - 25.10.2024 18:00","10266","10125"
"25.10.2024 18:00 - 25.10.2024 18:15","9986","9797"
"25.10.2024 18:15 - 25.10.2024 18:30","9847","9654"
"25.10.2024 18:30 - 25.10.2024 18:45","9724","9593"
"25.10.2024 18:45 - 25.10.2024 19:00","9582","9536"
"25.10.2024 19:00 - 25.10.2024 19:15","9470","9409"
"25.10.2024 19:15 - 25.10.2024 19:30","9290","9238"
"25.10.2024 19:30 - 25.10.2024 19:45","9160","9025"
"25.10.2024 19:45 - 25.10.2024 20:00","9027","8888"
"25.10.2024 20:00 - 25.10.2024 20:15","8990","8926"
"25.10.2024 20:15 - 25.10.2024 20:30","8917","8831"
"25.10.2024 20:30 - 25.10.2024 20:45","8870","8821"
"25.10.2024 20:45 - 25.10.2024 21:00","8773","8779"
"25.10.2024 21:00 - 25.10.2024 21:15","8728","8681"
"25.10.2024 21:15 - 25.10.2024 21:30","8577","8501"
"25.10.2024 21:30 - 25.10.2024 21:45","8460","8395"
"25.10.2024 21:45 - 25.10.2024 22:00","8336","8255"
"25.10.2024 22:00 - 25.10.2024 22:15","8109","8237"
"25.10.2024 22:15 - 25.10.2024 22:30","7967","8091"
"25.10.2024 22:30 - 25.10.2024 22:45","7860","7940"
"25.10.2024 22:45 - 25.10.2024 23:00","7762","7814"
"25.10.2024 23:00 - 25.10.2024 23:15","7593","7759"
"25.10.2024 23:15 - 25.10.2024 23:30","7497","7723"
"25.10.2024 23:30 - 25.10.2024 23:45","7433","7633"
"25.10.2024 23:45 - 26.10.2024 00:00","7349","7555"
"26.10.2024 00:00 - 26.10.2024 00:15","7349","7501"
"26.10.2024 00:15 - 26.10.2024 00:30","7342","7438"
"26.10.2024 00:30 - 26.10.2024 00:45","7308","7411"
"26.10.2024 00:45 - 26.10.2024 01:00","7267","7433"
"26.10.2024 01:00 - 26.10.2024 01:15","7234","7366"
"26.10.2024 01:15 - 26.10.2024 01:30","7179","7301"
"26.10.2024 01:30 - 26.10.2024 01:45","7159","7261"
"26.10.2024 01:45 - 26.10.2024 02:00","7140","7257"
"26.10.2024 02:00 - 26.10.2024 02:15","7102","7247"
"26.10.2024 02:15 - 26.10.2024 02:30","7059","7233"
"26.10.2024 02:30 - 26.10.2024 02:45","7046","7236"
"26.10.2024 02:45 - 26.10.2024 03:00","7058","7193"
"26.10.2024 03:00 - 26.10.2024 03:15","7135","7260"
"26.10.2024 03:15 - 26.10.2024 03:30","7139","7266"
"26.10.2024 03:30 - 26.10.2024 03:45","7147","7307"
"26.10.2024 03:45 - 26.10.2024 04:00","7217","7342"
"26.10.2024 04:00 - 26.10.2024 04:15","7341","7490"
"26.10.2024 04:15 - 26.10.2024 04:30","7413","7549"
"26.10.2024 04:30 - 26.10.2024 04:45","7532","7609"
"26.10.2024 04:45 - 26.10.2024 05:00","7622","7743"
"26.10.2024 05:00 - 26.10.2024 05:15","7700","7881"
"26.10.2024 05:15 - 26.10.2024 05:30","7822","8060"
"26.10.2024 05:30 - 26.10.2024 05:45","7923","8147"
"26.10.2024 05:45 - 26.10.2024 06:00","8009","8299"
"26.10.2024 06:00 - 26.10.2024 06:15","8113","8426"
"26.10.2024 06:15 - 26.10.2024 06:30","8229","8504"
"26.10.2024 06:30 - 26.10.2024 06:45","8361","8588"
"26.10.2024 06:45 - 26.10.2024 07:00","8471","8748"
"26.10.2024 07:00 - 26.10.2024 07:15","8688","8911"
"26.10.2024 07:15 - 26.10.2024 07:30","8816","9105"
"26.10.2024 07:30 - 26.10.2024 07:45","8870","9230"
"26.10.2024 07:45 - 26.10.2024 08:00","8935","9184"
"26.10.2024 08:00 - 26.10.2024 08:15","8894","9238"
"26.10.2024 08:15 - 26.10.2024 08:30","8935","9271"
"26.10.2024 08:30 - 26.10.2024 08:45","8944","9236"
"26.10.2024 08:45 - 26.10.2024 09:00","9030","9328"
"26.10.2024 09:00 - 26.10.2024 09:15","9049","9279"
"26.10.2024 09:15 - 26.10.2024 09:30","9023","9372"
"26.10.2024 09:30 - 26.10.2024 09:45","9062","9402"
"26.10.2024 09:45 - 26.10.2024 10:00","9123","9507"
"26.10.2024 10:00 - 26.10.2024 10:15","8993","9371"
"26.10.2024 10:15 - 26.10.2024 10:30","8971","9410"
"26.10.2024 10:30 - 26.10.2024 10:45","9002","9339"
"26.10.2024 10:45 - 26.10.2024 11:00","8999","9376"
"26.10.2024 11:00 - 26.10.2024 11:15","8881","9421"
"26.10.2024 11:15 - 26.10.2024 11:30","8786","9414"
"26.10.2024 11:30 - 26.10.2024 11:45","8763","9506"
"26.10.2024 11:45 - 26.10.2024 12:00","8681","9454"
"26.10.2024 12:00 - 26.10.2024 12:15","8732","9381"
"26.10.2024 12:15 - 26.10.2024 12:30","8661","9238"
"26.10.2024 12:30 - 26.10.2024 12:45","8566","9082"
"26.10.2024 12:45 - 26.10.2024 13:00","8497","9010"
"26.10.2024 13:00 - 26.10.2024 13:15","8569","9084"
"26.10.2024 13:15 - 26.10.2024 13:30","8570","8910"
"26.10.2024 13:30 - 26.10.2024 13:45","8528","8885"
"26.10.2024 13:45 - 26.10.2024 14:00","8428","8712"
"26.10.2024 14:00 - 26.10.2024 14:15","8472","8894"
"26.10.2024 14:15 - 26.10.2024 14:30","8484","8859"
"26.10.2024 14:30 - 26.10.2024 14:45","8534","8867"
"26.10.2024 14:45 - 26.10.2024 15:00","8568","8848"
"26.10.2024 15:00 - 26.10.2024 15:15","8644","8921"
"26.10.2024 15:15 - 26.10.2024 15:30","8721","8680"
"26.10.2024 15:30 - 26.10.2024 15:45","8774","8701"
"26.10.2024 15:45 - 26.10.2024 16:00","8880","8820"
"26.10.2024 16:00 - 26.10.2024 16:15","9104","8970"
"26.10.2024 16:15 - 26.10.2024 16:30","9170","9055"
"26.10.2024 16:30 - 26.10.2024 16:45","9190","9247"
"26.10.2024 16:45 - 26.10.2024 17:00","9262","9379"
"26.10.2024 17:00 - 26.10.2024 17:15","9341","9335"
"26.10.2024 17:15 - 26.10.2024 17:30","9307","9172"
"26.10.2024 17:30 - 26.10.2024 17:45","9306","9155"
"26.10.2024 17:45 - 26.10.2024 18:00","9250","9059"
"26.10.2024 18:00 - 26.10.2024 18:15","8917","8927"
"26.10.2024 18:15 - 26.10.2024 18:30","8845","8931"
"26.10.2024 18:30 - 26.10.2024 18:45","8714","8845"
"26.10.2024 18:45 - 26.10.2024 19:00","8577","8711"
"26.10.2024 19:00 - 26.10.2024 19:15","8411","8668"
"26.10.2024 19:15 - 26.10.2024 19:30","8335","8509"
"26.10.2024 19:30 - 26.10.2024 19:45","8306","8406"
"26.10.2024 19:45 - 26.10.2024 20:00","8168","8371"
"26.10.2024 20:00 - 26.10.2024 20:15","8201","8343"
"26.10.2024 20:15 - 26.10.2024 20:30","8177","8279"
"26.10.2024 20:30 - 26.10.2024 20:45","8099","8284"
"26.10.2024 20:45 - 26.10.2024 21:00","8043","8161"
"26.10.2024 21:00 - 26.10.2024 21:15","8016","8060"
"26.10.2024 21:15 - 26.10.2024 21:30","7895","7915"
"26.10.2024 21:30 - 26.10.2024 21:45","7809","7788"
"26.10.2024 21:45 - 26.10.2024 22:00","7695","7742"
"26.10.2024 22:00 - 26.10.2024 22:15","7674","7519"
"26.10.2024 22:15 - 26.10.2024 22:30","7545","7417"
"26.10.2024 22:30 - 26.10.2024 22:45","7478","7450"
"26.10.2024 22:45 - 26.10.2024 23:00","7410","7369"
"26.10.2024 23:00 - 26.10.2024 23:15","7344","7225"
"26.10.2024 23:15 - 26.10.2024 23:30","7292","7164"
"26.10.2024 23:30 - 26.10.2024 23:45","7213","7033"
"26.10.2024 23:45 - 27.10.2024 00:00","7144","7009"
"27.10.2024 00:00 - 27.10.2024 00:15","7045","6863"
"27.10.2024 00:15 - 27.10.2024 00:30","6984","6698"
"27.10.2024 00:30 - 27.10.2024 00:45","6939","6699"
"27.10.2024 00:45 - 27.10.2024 01:00","6935","6713"
"27.10.2024 01:00 - 27.10.2024 01:15","6865","6721"
"27.10.2024 01:15 - 27.10.2024 01:30","6855","6705"
"27.10.2024 01:30 - 27.10.2024 01:45","6824","6684"
"27.10.2024 01:45 - 27.10.2024 02:00","6820","6632"
"27.10.2024 02:00 - 27.10.2024 02:15","6767","6861"
"27.10.2024 02:15 - 27.10.2024 02:30","6797","6748"
"27.10.2024 02:30 - 27.10.2024 02:45","6799","6760"
"27.10.2024 02:45 - 27.10.2024 03:00","6819","6799"
"27.10.2024 03:00 - 27.10.2024 03:15","6685","6827"
"27.10.2024 03:15 - 27.10.2024 03:30","6728","6842"
"27.10.2024 03:30 - 27.10.2024 03:45","6779","6826"
"27.10.2024 03:45 - 27.10.2024 04:00","6856","6801"
"27.10.2024 04:00 - 27.10.2024 04:15","6766","6841"
"27.10.2024 04:15 - 27.10.2024 04:30","6861","6830"
"27.10.2024 04:30 - 27.10.2024 04:45","6889","6882"
"27.10.2024 04:45 - 27.10.2024 05:00","6935","6920"
"27.10.2024 05:00 - 27.10.2024 05:15","6984","6965"
"27.10.2024 05:15 - 27.10.2024 05:30","7092","6976"
"27.10.2024 05:30 - 27.10.2024 05:45","7225","7207"
"27.10.2024 05:45 - 27.10.2024 06:00","7354","7283"
"27.10.2024 06:00 - 27.10.2024 06:15","7450","7415"
"27.10.2024 06:15 - 27.10.2024 06:30","7513","7473"
"27.10.2024 06:30 - 27.10.2024 06:45","7588","7458"
"27.10.2024 06:45 - 27.10.2024 07:00","7618","7558"
"27.10.2024 07:00 - 27.10.2024 07:15","7788","7864"
"27.10.2024 07:15 - 27.10.2024 07:30","7876","8108"
"27.10.2024 07:30 - 27.10.2024 07:45","7987","8251"
"27.10.2024 07:45 - 27.10.2024 08:00","8074","8362"
"27.10.2024 08:00 - 27.10.2024 08:15","8200","8465"
"27.10.2024 08:15 - 27.10.2024 08:30","8297","8576"
"27.10.2024 08:30 - 27.10.2024 08:45","8367","8607"
"27.10.2024 08:45 - 27.10.2024 09:00","8445","8752"
"27.10.2024 09:00 - 27.10.2024 09:15","8602","8988"
"27.10.2024 09:15 - 27.10.2024 09:30","8635","9229"
"27.10.2024 09:30 - 27.10.2024 09:45","8640","9246"
"27.10.2024 09:45 - 27.10.2024 10:00","8560","9246"
"27.10.2024 10:00 - 27.10.2024 10:15","9071","9214"
"27.10.2024 10:15 - 27.10.2024 10:30","8950","9243"
"27.10.2024 10:30 - 27.10.2024 10:45","8838","9371"
"27.10.2024 10:45 - 27.10.2024 11:00","8728","9394"
"27.10.2024 11:00 - 27.10.2024 11:15","9120","9347"
"27.10.2024 11:15 - 27.10.2024 11:30","9088","9221"
"27.10.2024 11:30 - 27.10.2024 11:45","9042","9130"
"27.10.2024 11:45 - 27.10.2024 12:00","8968","9101"
"27.10.2024 12:00 - 27.10.2024 12:15","8838","8996"
"27.10.2024 12:15 - 27.10.2024 12:30","8863","8874"
"27.10.2024 12:30 - 27.10.2024 12:45","8809","8823"
"27.10.2024 12:45 - 27.10.2024 13:00","8719","8705"
"27.10.2024 13:00 - 27.10.2024 13:15","8471","8666"
"27.10.2024 13:15 - 27.10.2024 13:30","8435","8631"
"27.10.2024 13:30 - 27.10.2024 13:45","8455","8641"
"27.10.2024 13:45 - 27.10.2024 14:00","8457","8637"
"27.10.2024 14:00 - 27.10.2024 14:15","8168","8548"
"27.10.2024 14:15 - 27.10.2024 14:30","8225","8469"
"27.10.2024 14:30 - 27.10.2024 14:45","8299","8391"
"27.10.2024 14:45 - 27.10.2024 15:00","8376","8290"
"27.10.2024 15:00 - 27.10.2024 15:15","8115","8441"
"27.10.2024 15:15 - 27.10.2024 15:30","8272","8406"
"27.10.2024 15:30 - 27.10.2024 15:45","8407","8428"
"27.10.2024 15:45 - 27.10.2024 16:00","8446","8524"
"27.10.2024 16:00 - 27.10.2024 16:15","8669","8626"
"27.10.2024 16:15 - 27.10.2024 16:30","8673","8819"
"27.10.2024 16:30 - 27.10.2024 16:45","8720","9098"
"27.10.2024 16:45 - 27.10.2024 17:00","8704","9302"
"27.10.2024 17:00 - 27.10.2024 17:15","9385","9370"
"27.10.2024 17:15 - 27.10.2024 17:30","9333","9333"
"27.10.2024 17:30 - 27.10.2024 17:45","9225","9259"
"27.10.2024 17:45 - 27.10.2024 18:00","9106","9282"
"27.10.2024 18:00 - 27.10.2024 18:15","9764","9265"
"27.10.2024 18:15 - 27.10.2024 18:30","9604","9249"
"27.10.2024 18:30 - 27.10.2024 18:45","9484","9137"
"27.10.2024 18:45 - 27.10.2024 19:00","9356","9037"
"27.10.2024 19:00 - 27.10.2024 19:15","9235","8832"
"27.10.2024 19:15 - 27.10.2024 19:30","9224","8711"
"27.10.2024 19:30 - 27.10.2024 19:45","9148","8695"
"27.10.2024 19:45 - 27.10.2024 20:00","9032","8622"
"27.10.2024 20:00 - 27.10.2024 20:15","8839","8551"
"27.10.2024 20:15 - 27.10.2024 20:30","8735","8458"
"27.10.2024 20:30 - 27.10.2024 20:45","8626","8463"
"27.10.2024 20:45 - 27.10.2024 21:00","8470","8384"
"27.10.2024 21:00 - 27.10.2024 21:15","8391","8351"
"27.10.2024 21:15 - 27.10.2024 21:30","8319","8428"
"27.10.2024 21:30 - 27.10.2024 21:45","8259","8336"
"27.10.2024 21:45 - 27.10.2024 22:00","8154","8269"
"27.10.2024 22:00 - 27.10.2024 22:15","8065","8166"
"27.10.2024 22:15 - 27.10.2024 22:30","8045","8048"
"27.10.2024 22:30 - 27.10.2024 22:45","8007","7894"
"27.10.2024 22:45 - 27.10.2024 23:00","7921","7837"
"27.10.2024 23:00 - 27.10.2024 23:15","7648","7723"
"27.10.2024 23:15 - 27.10.2024 23:30","7630","7502"
"27.10.2024 23:30 - 27.10.2024 23:45","7593","7412"
"27.10.2024 23:45 - 28.10.2024 00:00","7511","7249"
"28.10.2024 00:00 - 28.10.2024 00:15","7297","7231"
"28.10.2024 00:15 - 28.10.2024 00:30","7298","7167"
"28.10.2024 00:30 - 28.10.2024 00:45","7316","7090"
"28.10.2024 00:45 - 28.10.2024 01:00","7312","7111"
"28.10.2024 01:00 - 28.10.2024 01:15","7239","6982"
"28.10.2024 01:15 - 28.10.2024 01:30","7155","6994"
"28.10.2024 01:30 - 28.10.2024 01:45","7141","7005"
"28.10.2024 01:45 - 28.10.2024 02:00","7099","6974"
"28.10.2024 02:00 - 28.10.2024 02:15","6973","7000"
"28.10.2024 02:15 - 28.10.2024 02:30","6992","6935"
"28.10.2024 02:30 - 28.10.2024 02:45","7076","6925"
"28.10.2024 02:45 - 28.10.2024 03:00","7193","6918"
"28.10.2024 03:00 - 28.10.2024 03:15","7016","6944"
"28.10.2024 03:15 - 28.10.2024 03:30","7138","6984"
"28.10.2024 03:30 - 28.10.2024 03:45","7242","7025"
"28.10.2024 03:45 - 28.10.2024 04:00","7408","7146"
"28.10.2024 04:00 - 28.10.2024 04:15","7409","7340"
"28.10.2024 04:15 - 28.10.2024 04:30","7665","7418"
"28.10.2024 04:30 - 28.10.2024 04:45","7874","7563"
"28.10.2024 04:45 - 28.10.2024 05:00","8096","7723"
"28.10.2024 05:00 - 28.10.2024 05:15","8551","8192"
"28.10.2024 05:15 - 28.10.2024 05:30","8750","8387"
"28.10.2024 05:30 - 28.10.2024 05:45","8905","8589"
"28.10.2024 05:45 - 28.10.2024 06:00","9016","8827"
"28.10.2024 06:00 - 28.10.2024 06:15","9724","9160"
"28.10.2024 06:15 - 28.10.2024 06:30","9847","9366"
"28.10.2024 06:30 - 28.10.2024 06:45","9970","9438"
"28.10.2024 06:45 - 28.10.2024 07:00","10062","9680"
"28.10.2024 07:00 - 28.10.2024 07:15","10307","9946"
"28.10.2024 07:15 - 28.10.2024 07:30","10384","10114"
"28.10.2024 07:30 - 28.10.2024 07:45","10432","10247"
"28.10.2024 07:45 - 28.10.2024 08:00","10468","10317"
"28.10.2024 08:00 - 28.10.2024 08:15","10647","10444"
"28.10.2024 08:15 - 28.10.2024 08:30","10651","10547"
"28.10.2024 08:30 - 28.10.2024 08:45","10695","10693"
"28.10.2024 08:45 - 28.10.2024 09:00","10722","10760"
"28.10.2024 09:00 - 28.10.2024 09:15","10737","10581"
