"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"31.10.2024 20:00 - 31.10.2024 20:15","29660","29392"
"31.10.2024 20:15 - 31.10.2024 20:30","29313","29240"
"31.10.2024 20:30 - 31.10.2024 20:45","28851","28972"
"31.10.2024 20:45 - 31.10.2024 21:00","28296","28400"
"31.10.2024 21:00 - 31.10.2024 21:15","27737","27760"
"31.10.2024 21:15 - 31.10.2024 21:30","27089","26992"
"31.10.2024 21:30 - 31.10.2024 21:45","26441","26416"
"31.10.2024 21:45 - 31.10.2024 22:00","25815","25788"
"31.10.2024 22:00 - 31.10.2024 22:15","25124","25284"
"31.10.2024 22:15 - 31.10.2024 22:30","24607","24792"
"31.10.2024 22:30 - 31.10.2024 22:45","24167","24264"
"31.10.2024 22:45 - 31.10.2024 23:00","23792","23836"
"31.10.2024 23:00 - 31.10.2024 23:15","23076","23320"
"31.10.2024 23:15 - 31.10.2024 23:30","22762","22884"
"31.10.2024 23:30 - 31.10.2024 23:45","22469","22692"
"31.10.2024 23:45 - 01.11.2024 00:00","22185","22296"
"01.11.2024 00:00 - 01.11.2024 00:15","21937","21816"
"01.11.2024 00:15 - 01.11.2024 00:30","21631","21468"
"01.11.2024 00:30 - 01.11.2024 00:45","21300","21288"
"01.11.2024 00:45 - 01.11.2024 01:00","20965","20988"
"01.11.2024 01:00 - 01.11.2024 01:15","20556","20592"
"01.11.2024 01:15 - 01.11.2024 01:30","20293","20412"
"01.11.2024 01:30 - 01.11.2024 01:45","20097","20244"
"01.11.2024 01:45 - 01.11.2024 02:00","19957","20092"
"01.11.2024 02:00 - 01.11.2024 02:15","19826","19872"
"01.11.2024 02:15 - 01.11.2024 02:30","19746","19816"
"01.11.2024 02:30 - 01.11.2024 02:45","19671","19780"
"01.11.2024 02:45 - 01.11.2024 03:00","19599","19612"
"01.11.2024 03:00 - 01.11.2024 03:15","19523","19488"
"01.11.2024 03:15 - 01.11.2024 03:30","19452","19488"
"01.11.2024 03:30 - 01.11.2024 03:45","19383","19380"
"01.11.2024 03:45 - 01.11.2024 04:00","19327","19344"
"01.11.2024 04:00 - 01.11.2024 04:15","19209","19408"
"01.11.2024 04:15 - 01.11.2024 04:30","19229","19368"
"01.11.2024 04:30 - 01.11.2024 04:45","19303","19224"
"01.11.2024 04:45 - 01.11.2024 05:00","19422","19172"
"01.11.2024 05:00 - 01.11.2024 05:15","19556","19268"
"01.11.2024 05:15 - 01.11.2024 05:30","19717","19412"
"01.11.2024 05:30 - 01.11.2024 05:45","19878","19616"
"01.11.2024 05:45 - 01.11.2024 06:00","20030","19628"
"01.11.2024 06:00 - 01.11.2024 06:15","20205","19832"
"01.11.2024 06:15 - 01.11.2024 06:30","20318","20400"
"01.11.2024 06:30 - 01.11.2024 06:45","20408","20532"
"01.11.2024 06:45 - 01.11.2024 07:00","20500","20344"
"01.11.2024 07:00 - 01.11.2024 07:15","20492","20360"
"01.11.2024 07:15 - 01.11.2024 07:30","20688","20680"
"01.11.2024 07:30 - 01.11.2024 07:45","20973","20864"
"01.11.2024 07:45 - 01.11.2024 08:00","21316","21164"
"01.11.2024 08:00 - 01.11.2024 08:15","21763","21472"
"01.11.2024 08:15 - 01.11.2024 08:30","22089","21972"
"01.11.2024 08:30 - 01.11.2024 08:45","22348","22400"
"01.11.2024 08:45 - 01.11.2024 09:00","22544","22556"
"01.11.2024 09:00 - 01.11.2024 09:15","22762","22708"
"01.11.2024 09:15 - 01.11.2024 09:30","22870","22780"
"01.11.2024 09:30 - 01.11.2024 09:45","22950","22876"
"01.11.2024 09:45 - 01.11.2024 10:00","23005","22768"
"01.11.2024 10:00 - 01.11.2024 10:15","23079","23024"
"01.11.2024 10:15 - 01.11.2024 10:30","23080","23004"
"01.11.2024 10:30 - 01.11.2024 10:45","23056","22832"
"01.11.2024 10:45 - 01.11.2024 11:00","23026","22700"
"01.11.2024 11:00 - 01.11.2024 11:15","22936","22796"
"01.11.2024 11:15 - 01.11.2024 11:30","22952","22660"
"01.11.2024 11:30 - 01.11.2024 11:45","23015","22620"
"01.11.2024 11:45 - 01.11.2024 12:00","23117","22712"
"01.11.2024 12:00 - 01.11.2024 12:15","23242","22848"
"01.11.2024 12:15 - 01.11.2024 12:30","23379","22868"
"01.11.2024 12:30 - 01.11.2024 12:45","23510","23264"
"01.11.2024 12:45 - 01.11.2024 13:00","23607","23428"
"01.11.2024 13:00 - 01.11.2024 13:15","23825","23312"
"01.11.2024 13:15 - 01.11.2024 13:30","23767","23560"
"01.11.2024 13:30 - 01.11.2024 13:45","23601","23620"
"01.11.2024 13:45 - 01.11.2024 14:00","23365","23396"
"01.11.2024 14:00 - 01.11.2024 14:15","23028","23108"
"01.11.2024 14:15 - 01.11.2024 14:30","22809","23004"
"01.11.2024 14:30 - 01.11.2024 14:45","22662","22696"
"01.11.2024 14:45 - 01.11.2024 15:00","22572","22676"
"01.11.2024 15:00 - 01.11.2024 15:15","22506","22412"
"01.11.2024 15:15 - 01.11.2024 15:30","22441","22540"
"01.11.2024 15:30 - 01.11.2024 15:45","22360","22392"
"01.11.2024 15:45 - 01.11.2024 16:00","22307","22524"
"01.11.2024 16:00 - 01.11.2024 16:15","22050","22544"
"01.11.2024 16:15 - 01.11.2024 16:30","22231","22612"
"01.11.2024 16:30 - 01.11.2024 16:45","22593","22796"
"01.11.2024 16:45 - 01.11.2024 17:00","23079","23000"
"01.11.2024 17:00 - 01.11.2024 17:15","23739","23248"
"01.11.2024 17:15 - 01.11.2024 17:30","24232","23876"
"01.11.2024 17:30 - 01.11.2024 17:45","24621","24692"
"01.11.2024 17:45 - 01.11.2024 18:00","24911","25112"
"01.11.2024 18:00 - 01.11.2024 18:15","25229","25340"
"01.11.2024 18:15 - 01.11.2024 18:30","25388","25460"
"01.11.2024 18:30 - 01.11.2024 18:45","25511","25536"
"01.11.2024 18:45 - 01.11.2024 19:00","25604","25640"
"01.11.2024 19:00 - 01.11.2024 19:15","25719","25892"
"01.11.2024 19:15 - 01.11.2024 19:30","25763","25936"
"01.11.2024 19:30 - 01.11.2024 19:45","25785","25936"
"01.11.2024 19:45 - 01.11.2024 20:00","25772","26148"
"01.11.2024 20:00 - 01.11.2024 20:15","25846","26236"
"01.11.2024 20:15 - 01.11.2024 20:30","25716","26220"
"01.11.2024 20:30 - 01.11.2024 20:45","25509","25992"
"01.11.2024 20:45 - 01.11.2024 21:00","25230","25696"
"01.11.2024 21:00 - 01.11.2024 21:15","24990","25432"
"01.11.2024 21:15 - 01.11.2024 21:30","24594","25008"
"01.11.2024 21:30 - 01.11.2024 21:45","24158","24620"
"01.11.2024 21:45 - 01.11.2024 22:00","23702","24120"
"01.11.2024 22:00 - 01.11.2024 22:15","23198","23668"
"01.11.2024 22:15 - 01.11.2024 22:30","22779","23288"
"01.11.2024 22:30 - 01.11.2024 22:45","22409","22844"
"01.11.2024 22:45 - 01.11.2024 23:00","22081","22436"
"01.11.2024 23:00 - 01.11.2024 23:15","21578","21960"
"01.11.2024 23:15 - 01.11.2024 23:30","21176","21648"
"01.11.2024 23:30 - 01.11.2024 23:45","20786","21228"
"01.11.2024 23:45 - 02.11.2024 00:00","20416","20956"
"02.11.2024 00:00 - 02.11.2024 00:15","20013","20448"
"02.11.2024 00:15 - 02.11.2024 00:30","19703","20184"
"02.11.2024 00:30 - 02.11.2024 00:45","19434","20048"
"02.11.2024 00:45 - 02.11.2024 01:00","19202","19724"
"02.11.2024 01:00 - 02.11.2024 01:15","18947","19352"
"02.11.2024 01:15 - 02.11.2024 01:30","18784","19168"
"02.11.2024 01:30 - 02.11.2024 01:45","18651","18996"
"02.11.2024 01:45 - 02.11.2024 02:00","18547","18604"
"02.11.2024 02:00 - 02.11.2024 02:15","18423","18596"
"02.11.2024 02:15 - 02.11.2024 02:30","18370","18564"
"02.11.2024 02:30 - 02.11.2024 02:45","18339","18436"
"02.11.2024 02:45 - 02.11.2024 03:00","18325","18388"
"02.11.2024 03:00 - 02.11.2024 03:15","18309","18224"
"02.11.2024 03:15 - 02.11.2024 03:30","18313","18332"
"02.11.2024 03:30 - 02.11.2024 03:45","18320","18280"
"02.11.2024 03:45 - 02.11.2024 04:00","18342","18304"
"02.11.2024 04:00 - 02.11.2024 04:15","18304","18032"
"02.11.2024 04:15 - 02.11.2024 04:30","18397","18348"
"02.11.2024 04:30 - 02.11.2024 04:45","18543","18512"
"02.11.2024 04:45 - 02.11.2024 05:00","18733","18652"
"02.11.2024 05:00 - 02.11.2024 05:15","18927","18432"
"02.11.2024 05:15 - 02.11.2024 05:30","19167","19100"
"02.11.2024 05:30 - 02.11.2024 05:45","19417","19324"
"02.11.2024 05:45 - 02.11.2024 06:00","19677","19496"
"02.11.2024 06:00 - 02.11.2024 06:15","19919","19468"
"02.11.2024 06:15 - 02.11.2024 06:30","20215","19964"
"02.11.2024 06:30 - 02.11.2024 06:45","20534","20304"
"02.11.2024 06:45 - 02.11.2024 07:00","20876","20364"
"02.11.2024 07:00 - 02.11.2024 07:15","21220","20164"
"02.11.2024 07:15 - 02.11.2024 07:30","21608","20668"
"02.11.2024 07:30 - 02.11.2024 07:45","22013","20956"
"02.11.2024 07:45 - 02.11.2024 08:00","22415","21256"
"02.11.2024 08:00 - 02.11.2024 08:15","22920","21508"
"02.11.2024 08:15 - 02.11.2024 08:30","23238","22068"
"02.11.2024 08:30 - 02.11.2024 08:45","23482","22396"
"02.11.2024 08:45 - 02.11.2024 09:00","23658","22584"
"02.11.2024 09:00 - 02.11.2024 09:15","23858","22744"
"02.11.2024 09:15 - 02.11.2024 09:30","23936","22848"
"02.11.2024 09:30 - 02.11.2024 09:45","23982","23096"
"02.11.2024 09:45 - 02.11.2024 10:00","23998","23116"
"02.11.2024 10:00 - 02.11.2024 10:15","24036","22812"
"02.11.2024 10:15 - 02.11.2024 10:30","23990","22840"
"02.11.2024 10:30 - 02.11.2024 10:45","23917","22860"
"02.11.2024 10:45 - 02.11.2024 11:00","23842","22812"
"02.11.2024 11:00 - 02.11.2024 11:15","23678","22856"
"02.11.2024 11:15 - 02.11.2024 11:30","23687","22876"
"02.11.2024 11:30 - 02.11.2024 11:45","23772","22688"
"02.11.2024 11:45 - 02.11.2024 12:00","23905","22712"
"02.11.2024 12:00 - 02.11.2024 12:15","24128","22932"
"02.11.2024 12:15 - 02.11.2024 12:30","24241","23136"
"02.11.2024 12:30 - 02.11.2024 12:45","24294","23352"
"02.11.2024 12:45 - 02.11.2024 13:00","24280","23348"
"02.11.2024 13:00 - 02.11.2024 13:15","24313","23724"
"02.11.2024 13:15 - 02.11.2024 13:30","24174","23732"
"02.11.2024 13:30 - 02.11.2024 13:45","23981","23648"
"02.11.2024 13:45 - 02.11.2024 14:00","23765","23512"
"02.11.2024 14:00 - 02.11.2024 14:15","23456","23284"
"02.11.2024 14:15 - 02.11.2024 14:30","23304","23080"
"02.11.2024 14:30 - 02.11.2024 14:45","23228","22708"
"02.11.2024 14:45 - 02.11.2024 15:00","23208","22808"
"02.11.2024 15:00 - 02.11.2024 15:15","23213","22744"
"02.11.2024 15:15 - 02.11.2024 15:30","23219","22664"
"02.11.2024 15:30 - 02.11.2024 15:45","23208","22680"
"02.11.2024 15:45 - 02.11.2024 16:00","23222","22808"
"02.11.2024 16:00 - 02.11.2024 16:15","23046","22760"
"02.11.2024 16:15 - 02.11.2024 16:30","23279","22864"
"02.11.2024 16:30 - 02.11.2024 16:45","23682","23092"
"02.11.2024 16:45 - 02.11.2024 17:00","24196","23396"
"02.11.2024 17:00 - 02.11.2024 17:15","24903","23736"
"02.11.2024 17:15 - 02.11.2024 17:30","25390","24224"
"02.11.2024 17:30 - 02.11.2024 17:45","25754","24856"
"02.11.2024 17:45 - 02.11.2024 18:00","26009","25324"
"02.11.2024 18:00 - 02.11.2024 18:15","26269","25528"
"02.11.2024 18:15 - 02.11.2024 18:30","26404","25744"
"02.11.2024 18:30 - 02.11.2024 18:45","26520","25816"
"02.11.2024 18:45 - 02.11.2024 19:00","26611","25840"
"02.11.2024 19:00 - 02.11.2024 19:15","26778","26036"
"02.11.2024 19:15 - 02.11.2024 19:30","26780","26144"
"02.11.2024 19:30 - 02.11.2024 19:45","26717","26288"
"02.11.2024 19:45 - 02.11.2024 20:00","26576","26356"
"02.11.2024 20:00 - 02.11.2024 20:15","26551","26484"
"02.11.2024 20:15 - 02.11.2024 20:30","26214","26352"
"02.11.2024 20:30 - 02.11.2024 20:45","25770","25976"
"02.11.2024 20:45 - 02.11.2024 21:00","25249","25728"
"02.11.2024 21:00 - 02.11.2024 21:15","24684","25352"
"02.11.2024 21:15 - 02.11.2024 21:30","24134","24740"
"02.11.2024 21:30 - 02.11.2024 21:45","23620","24364"
"02.11.2024 21:45 - 02.11.2024 22:00","23143","23568"
"02.11.2024 22:00 - 02.11.2024 22:15","22678","23180"
"02.11.2024 22:15 - 02.11.2024 22:30","22246","22792"
"02.11.2024 22:30 - 02.11.2024 22:45","21824","22272"
"02.11.2024 22:45 - 02.11.2024 23:00","21414","21848"
"02.11.2024 23:00 - 02.11.2024 23:15","21301","21352"
"02.11.2024 23:15 - 02.11.2024 23:30","20944","21176"
"02.11.2024 23:30 - 02.11.2024 23:45","20592","20608"
"02.11.2024 23:45 - 03.11.2024 00:00","20251","20340"
"03.11.2024 00:00 - 03.11.2024 00:15","19884","20016"
"03.11.2024 00:15 - 03.11.2024 00:30","19587","19712"
"03.11.2024 00:30 - 03.11.2024 00:45","19320","19364"
"03.11.2024 00:45 - 03.11.2024 01:00","19084","19200"
"03.11.2024 01:00 - 03.11.2024 01:15","18828","18872"
"03.11.2024 01:15 - 03.11.2024 01:30","18651","18676"
"03.11.2024 01:30 - 03.11.2024 01:45","18501","18616"
"03.11.2024 01:45 - 03.11.2024 02:00","18373","18344"
"03.11.2024 02:00 - 03.11.2024 02:15","18244","18220"
"03.11.2024 02:15 - 03.11.2024 02:30","18142","18012"
"03.11.2024 02:30 - 03.11.2024 02:45","18046","17844"
"03.11.2024 02:45 - 03.11.2024 03:00","17961","17836"
"03.11.2024 03:00 - 03.11.2024 03:15","17845","17804"
"03.11.2024 03:15 - 03.11.2024 03:30","17801","17668"
"03.11.2024 03:30 - 03.11.2024 03:45","17787","17700"
"03.11.2024 03:45 - 03.11.2024 04:00","17798","17652"
"03.11.2024 04:00 - 03.11.2024 04:15","17800","17556"
"03.11.2024 04:15 - 03.11.2024 04:30","17844","17500"
"03.11.2024 04:30 - 03.11.2024 04:45","17898","17576"
"03.11.2024 04:45 - 03.11.2024 05:00","17971","17464"
"03.11.2024 05:00 - 03.11.2024 05:15","18001","17520"
"03.11.2024 05:15 - 03.11.2024 05:30","18142","17868"
"03.11.2024 05:30 - 03.11.2024 05:45","18326","17920"
"03.11.2024 05:45 - 03.11.2024 06:00","18531","18256"
"03.11.2024 06:00 - 03.11.2024 06:15","18803","18296"
"03.11.2024 06:15 - 03.11.2024 06:30","18970","18448"
"03.11.2024 06:30 - 03.11.2024 06:45","19086","18468"
"03.11.2024 06:45 - 03.11.2024 07:00","19178","18760"
"03.11.2024 07:00 - 03.11.2024 07:15","19179","18520"
"03.11.2024 07:15 - 03.11.2024 07:30","19333","18796"
"03.11.2024 07:30 - 03.11.2024 07:45","19561","18980"
"03.11.2024 07:45 - 03.11.2024 08:00","19842","19248"
"03.11.2024 08:00 - 03.11.2024 08:15","20199","19536"
"03.11.2024 08:15 - 03.11.2024 08:30","20479","19920"
"03.11.2024 08:30 - 03.11.2024 08:45","20711","20592"
"03.11.2024 08:45 - 03.11.2024 09:00","20896","20976"
"03.11.2024 09:00 - 03.11.2024 09:15","21109","21140"
"03.11.2024 09:15 - 03.11.2024 09:30","21215","21196"
"03.11.2024 09:30 - 03.11.2024 09:45","21291","21508"
"03.11.2024 09:45 - 03.11.2024 10:00","21343","21604"
"03.11.2024 10:00 - 03.11.2024 10:15","21389","21600"
"03.11.2024 10:15 - 03.11.2024 10:30","21415","21704"
"03.11.2024 10:30 - 03.11.2024 10:45","21439","21872"
"03.11.2024 10:45 - 03.11.2024 11:00","21475","21932"
"03.11.2024 11:00 - 03.11.2024 11:15","21458","21880"
"03.11.2024 11:15 - 03.11.2024 11:30","21560","21996"
"03.11.2024 11:30 - 03.11.2024 11:45","21709","21956"
"03.11.2024 11:45 - 03.11.2024 12:00","21889","22028"
"03.11.2024 12:00 - 03.11.2024 12:15","22133","22000"
"03.11.2024 12:15 - 03.11.2024 12:30","22302","22396"
"03.11.2024 12:30 - 03.11.2024 12:45","22431","22484"
"03.11.2024 12:45 - 03.11.2024 13:00","22499","22588"
"03.11.2024 13:00 - 03.11.2024 13:15","22680","22688"
"03.11.2024 13:15 - 03.11.2024 13:30","22567","22708"
"03.11.2024 13:30 - 03.11.2024 13:45","22345","22732"
"03.11.2024 13:45 - 03.11.2024 14:00","22060","22524"
"03.11.2024 14:00 - 03.11.2024 14:15","21649","22132"
"03.11.2024 14:15 - 03.11.2024 14:30","21408","21844"
"03.11.2024 14:30 - 03.11.2024 14:45","21261","21716"
"03.11.2024 14:45 - 03.11.2024 15:00","21200","21656"
"03.11.2024 15:00 - 03.11.2024 15:15","21113","21496"
"03.11.2024 15:15 - 03.11.2024 15:30","21167","21708"
"03.11.2024 15:30 - 03.11.2024 15:45","21256","21628"
"03.11.2024 15:45 - 03.11.2024 16:00","21393","21668"
"03.11.2024 16:00 - 03.11.2024 16:15","21433","21764"
"03.11.2024 16:15 - 03.11.2024 16:30","21728","22024"
"03.11.2024 16:30 - 03.11.2024 16:45","22122","22176"
"03.11.2024 16:45 - 03.11.2024 17:00","22579","22512"
"03.11.2024 17:00 - 03.11.2024 17:15","23152","22864"
"03.11.2024 17:15 - 03.11.2024 17:30","23589","23600"
"03.11.2024 17:30 - 03.11.2024 17:45","23955","24320"
"03.11.2024 17:45 - 03.11.2024 18:00","24266","24712"
"03.11.2024 18:00 - 03.11.2024 18:15","24549","25144"
"03.11.2024 18:15 - 03.11.2024 18:30","24842","25480"
"03.11.2024 18:30 - 03.11.2024 18:45","25158","25768"
"03.11.2024 18:45 - 03.11.2024 19:00","25472","25980"
"03.11.2024 19:00 - 03.11.2024 19:15","25924","26132"
"03.11.2024 19:15 - 03.11.2024 19:30","26124","26076"
"03.11.2024 19:30 - 03.11.2024 19:45","26217","26020"
"03.11.2024 19:45 - 03.11.2024 20:00","26202","26184"
"03.11.2024 20:00 - 03.11.2024 20:15","26272","26472"
"03.11.2024 20:15 - 03.11.2024 20:30","26060","26168"
"03.11.2024 20:30 - 03.11.2024 20:45","25760","25896"
"03.11.2024 20:45 - 03.11.2024 21:00","25381","25584"
"03.11.2024 21:00 - 03.11.2024 21:15","25046","25316"
"03.11.2024 21:15 - 03.11.2024 21:30","24540","24844"
"03.11.2024 21:30 - 03.11.2024 21:45","23991","24464"
"03.11.2024 21:45 - 03.11.2024 22:00","23429","23664"
"03.11.2024 22:00 - 03.11.2024 22:15","22787","23288"
"03.11.2024 22:15 - 03.11.2024 22:30","22308","22984"
"03.11.2024 22:30 - 03.11.2024 22:45","21911","22320"
"03.11.2024 22:45 - 03.11.2024 23:00","21577","21748"
"03.11.2024 23:00 - 03.11.2024 23:15","21120","21332"
"03.11.2024 23:15 - 03.11.2024 23:30","20759","21144"
"03.11.2024 23:30 - 03.11.2024 23:45","20427","20716"
"03.11.2024 23:45 - 04.11.2024 00:00","20124","20312"
"04.11.2024 00:00 - 04.11.2024 00:15","19799","20072"
"04.11.2024 00:15 - 04.11.2024 00:30","19558","19752"
"04.11.2024 00:30 - 04.11.2024 00:45","19348","19388"
"04.11.2024 00:45 - 04.11.2024 01:00","19168","19200"
"04.11.2024 01:00 - 04.11.2024 01:15","18965","19136"
"04.11.2024 01:15 - 04.11.2024 01:30","18843","18872"
"04.11.2024 01:30 - 04.11.2024 01:45","18749","18948"
"04.11.2024 01:45 - 04.11.2024 02:00","18678","18704"
"04.11.2024 02:00 - 04.11.2024 02:15","18598","18544"
"04.11.2024 02:15 - 04.11.2024 02:30","18564","18592"
"04.11.2024 02:30 - 04.11.2024 02:45","18543","18384"
"04.11.2024 02:45 - 04.11.2024 03:00","18537","18316"
"04.11.2024 03:00 - 04.11.2024 03:15","18494","18440"
"04.11.2024 03:15 - 04.11.2024 03:30","18523","18592"
"04.11.2024 03:30 - 04.11.2024 03:45","18579","18604"
"04.11.2024 03:45 - 04.11.2024 04:00","18694","18492"
"04.11.2024 04:00 - 04.11.2024 04:15","18633","18764"
"04.11.2024 04:15 - 04.11.2024 04:30","18980","18972"
"04.11.2024 04:30 - 04.11.2024 04:45","19490","19104"
"04.11.2024 04:45 - 04.11.2024 05:00","20145","19208"
"04.11.2024 05:00 - 04.11.2024 05:15","20833","19808"
"04.11.2024 05:15 - 04.11.2024 05:30","21686","21012"
"04.11.2024 05:30 - 04.11.2024 05:45","22590","21884"
"04.11.2024 05:45 - 04.11.2024 06:00","23499","22540"
"04.11.2024 06:00 - 04.11.2024 06:15","24643","23272"
"04.11.2024 06:15 - 04.11.2024 06:30","25417","24652"
"04.11.2024 06:30 - 04.11.2024 06:45","26052","25464"
"04.11.2024 06:45 - 04.11.2024 07:00","26558","25852"
"04.11.2024 07:00 - 04.11.2024 07:15","27138","26144"
"04.11.2024 07:15 - 04.11.2024 07:30","27443","26776"
"04.11.2024 07:30 - 04.11.2024 07:45","27673","27304"
"04.11.2024 07:45 - 04.11.2024 08:00","27840","27436"
"04.11.2024 08:00 - 04.11.2024 08:15","28038","27412"
"04.11.2024 08:15 - 04.11.2024 08:30","28101","27612"
"04.11.2024 08:30 - 04.11.2024 08:45","28125","27904"
"04.11.2024 08:45 - 04.11.2024 09:00","28120","28024"
"04.11.2024 09:00 - 04.11.2024 09:15","28104","27900"
"04.11.2024 09:15 - 04.11.2024 09:30","28076","27444"
"04.11.2024 09:30 - 04.11.2024 09:45","28052","27352"
"04.11.2024 09:45 - 04.11.2024 10:00","28033","27388"
"04.11.2024 10:00 - 04.11.2024 10:15","28006","27316"
"04.11.2024 10:15 - 04.11.2024 10:30","27996","27312"
"04.11.2024 10:30 - 04.11.2024 10:45","27993","27360"
"04.11.2024 10:45 - 04.11.2024 11:00","28002","27244"
"04.11.2024 11:00 - 04.11.2024 11:15","27982","27232"
"04.11.2024 11:15 - 04.11.2024 11:30","28037","27232"
"04.11.2024 11:30 - 04.11.2024 11:45","28122","27244"
"04.11.2024 11:45 - 04.11.2024 12:00","28215","27352"
"04.11.2024 12:00 - 04.11.2024 12:15","28388","27528"
"04.11.2024 12:15 - 04.11.2024 12:30","28414","27552"
"04.11.2024 12:30 - 04.11.2024 12:45","28374","27648"
"04.11.2024 12:45 - 04.11.2024 13:00","28284","27564"
"04.11.2024 13:00 - 04.11.2024 13:15","28153","27488"
"04.11.2024 13:15 - 04.11.2024 13:30","28044","27516"
"04.11.2024 13:30 - 04.11.2024 13:45","27960","27588"
"04.11.2024 13:45 - 04.11.2024 14:00","27902","27544"
"04.11.2024 14:00 - 04.11.2024 14:15","27824","27224"
"04.11.2024 14:15 - 04.11.2024 14:30","27812","27184"
"04.11.2024 14:30 - 04.11.2024 14:45","27822","27160"
"04.11.2024 14:45 - 04.11.2024 15:00","27852","27152"
"04.11.2024 15:00 - 04.11.2024 15:15","27854","27232"
"04.11.2024 15:15 - 04.11.2024 15:30","27928","27288"
"04.11.2024 15:30 - 04.11.2024 15:45","28027","27164"
"04.11.2024 15:45 - 04.11.2024 16:00","28162","27020"
"04.11.2024 16:00 - 04.11.2024 16:15","28231","27136"
"04.11.2024 16:15 - 04.11.2024 16:30","28474","27512"
"04.11.2024 16:30 - 04.11.2024 16:45","28784","27664"
"04.11.2024 16:45 - 04.11.2024 17:00","29138","27816"
"04.11.2024 17:00 - 04.11.2024 17:15","29561","28104"
"04.11.2024 17:15 - 04.11.2024 17:30","29919","28404"
"04.11.2024 17:30 - 04.11.2024 17:45","30239","29160"
"04.11.2024 17:45 - 04.11.2024 18:00","30511","29440"
"04.11.2024 18:00 - 04.11.2024 18:15","30859","29520"
"04.11.2024 18:15 - 04.11.2024 18:30","31016","29680"
"04.11.2024 18:30 - 04.11.2024 18:45","31107","29804"
"04.11.2024 18:45 - 04.11.2024 19:00","31133","30064"
"04.11.2024 19:00 - 04.11.2024 19:15","31225","30208"
"04.11.2024 19:15 - 04.11.2024 19:30","31127","30508"
"04.11.2024 19:30 - 04.11.2024 19:45","30967","30676"
"04.11.2024 19:45 - 04.11.2024 20:00","30725","30880"
"04.11.2024 20:00 - 04.11.2024 20:15","30643","30796"
"04.11.2024 20:15 - 04.11.2024 20:30","30160","30576"
"04.11.2024 20:30 - 04.11.2024 20:45","29533","30192"
"04.11.2024 20:45 - 04.11.2024 21:00","28805","29552"
"04.11.2024 21:00 - 04.11.2024 21:15","28021","28644"
"04.11.2024 21:15 - 04.11.2024 21:30","27256","27756"
"04.11.2024 21:30 - 04.11.2024 21:45","26545","27140"
"04.11.2024 21:45 - 04.11.2024 22:00","25889","26500"
"04.11.2024 22:00 - 04.11.2024 22:15","25235","25740"
"04.11.2024 22:15 - 04.11.2024 22:30","24665","25328"
"04.11.2024 22:30 - 04.11.2024 22:45","24126","24908"
"04.11.2024 22:45 - 04.11.2024 23:00","23621","24348"
"04.11.2024 23:00 - 04.11.2024 23:15","22928","23816"
"04.11.2024 23:15 - 04.11.2024 23:30","22541","23604"
"04.11.2024 23:30 - 04.11.2024 23:45","22169","23096"
"04.11.2024 23:45 - 05.11.2024 00:00","21818","22756"
"05.11.2024 00:00 - 05.11.2024 00:15","21421","22472"
"05.11.2024 00:15 - 05.11.2024 00:30","21146","22244"
"05.11.2024 00:30 - 05.11.2024 00:45","20919","21976"
"05.11.2024 00:45 - 05.11.2024 01:00","20736","21568"
"05.11.2024 01:00 - 05.11.2024 01:15","20547","21336"
"05.11.2024 01:15 - 05.11.2024 01:30","20416","21144"
"05.11.2024 01:30 - 05.11.2024 01:45","20299","20964"
"05.11.2024 01:45 - 05.11.2024 02:00","20199","20780"
"05.11.2024 02:00 - 05.11.2024 02:15","20064","20780"
"05.11.2024 02:15 - 05.11.2024 02:30","20016","20704"
"05.11.2024 02:30 - 05.11.2024 02:45","20001","20572"
"05.11.2024 02:45 - 05.11.2024 03:00","20011","20588"
"05.11.2024 03:00 - 05.11.2024 03:15","20015","20668"
"05.11.2024 03:15 - 05.11.2024 03:30","20045","20592"
"05.11.2024 03:30 - 05.11.2024 03:45","20078","20868"
"05.11.2024 03:45 - 05.11.2024 04:00","20150","20848"
"05.11.2024 04:00 - 05.11.2024 04:15","20045","20832"
"05.11.2024 04:15 - 05.11.2024 04:30","20322","20992"
"05.11.2024 04:30 - 05.11.2024 04:45","20755","21292"
"05.11.2024 04:45 - 05.11.2024 05:00","21330","21248"
"05.11.2024 05:00 - 05.11.2024 05:15","21917","21756"
"05.11.2024 05:15 - 05.11.2024 05:30","22694","22628"
"05.11.2024 05:30 - 05.11.2024 05:45","23530","23476"
"05.11.2024 05:45 - 05.11.2024 06:00","24373","24152"
"05.11.2024 06:00 - 05.11.2024 06:15","25446","25000"
"05.11.2024 06:15 - 05.11.2024 06:30","26150","26144"
"05.11.2024 06:30 - 05.11.2024 06:45","26709","27144"
"05.11.2024 06:45 - 05.11.2024 07:00","27139","27768"
"05.11.2024 07:00 - 05.11.2024 07:15","27614","28024"
"05.11.2024 07:15 - 05.11.2024 07:30","27871","28320"
"05.11.2024 07:30 - 05.11.2024 07:45","28076","28716"
"05.11.2024 07:45 - 05.11.2024 08:00","28227","28716"
"05.11.2024 08:00 - 05.11.2024 08:15","28451","28608"
"05.11.2024 08:15 - 05.11.2024 08:30","28470","28364"
"05.11.2024 08:30 - 05.11.2024 08:45","28415","28136"
