"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"04.01.2024 21:15 - 04.01.2024 21:30","30138","30664"
"04.01.2024 21:30 - 04.01.2024 21:45","29322","30060"
"04.01.2024 21:45 - 04.01.2024 22:00","28519","29436"
"04.01.2024 22:00 - 04.01.2024 22:15","27631","28696"
"04.01.2024 22:15 - 04.01.2024 22:30","26956","27840"
"04.01.2024 22:30 - 04.01.2024 22:45","26382","27252"
"04.01.2024 22:45 - 04.01.2024 23:00","25886","26580"
"04.01.2024 23:00 - 04.01.2024 23:15","25589","25840"
"04.01.2024 23:15 - 04.01.2024 23:30","25074","25636"
"04.01.2024 23:30 - 04.01.2024 23:45","24570","25216"
"04.01.2024 23:45 - 05.01.2024 00:00","24087","24580"
"05.01.2024 00:00 - 05.01.2024 00:15","23567","23908"
"05.01.2024 00:15 - 05.01.2024 00:30","23154","23636"
"05.01.2024 00:30 - 05.01.2024 00:45","22787","23144"
"05.01.2024 00:45 - 05.01.2024 01:00","22466","22608"
"05.01.2024 01:00 - 05.01.2024 01:15","22117","22396"
"05.01.2024 01:15 - 05.01.2024 01:30","21879","22160"
"05.01.2024 01:30 - 05.01.2024 01:45","21678","21760"
"05.01.2024 01:45 - 05.01.2024 02:00","21510","21532"
"05.01.2024 02:00 - 05.01.2024 02:15","21323","21492"
"05.01.2024 02:15 - 05.01.2024 02:30","21213","21220"
"05.01.2024 02:30 - 05.01.2024 02:45","21127","21124"
"05.01.2024 02:45 - 05.01.2024 03:00","21064","20952"
"05.01.2024 03:00 - 05.01.2024 03:15","20971","20764"
"05.01.2024 03:15 - 05.01.2024 03:30","20955","20824"
"05.01.2024 03:30 - 05.01.2024 03:45","20966","20880"
"05.01.2024 03:45 - 05.01.2024 04:00","21023","20832"
"05.01.2024 04:00 - 05.01.2024 04:15","20959","20828"
"05.01.2024 04:15 - 05.01.2024 04:30","21175","21112"
"05.01.2024 04:30 - 05.01.2024 04:45","21499","21216"
"05.01.2024 04:45 - 05.01.2024 05:00","21927","21448"
"05.01.2024 05:00 - 05.01.2024 05:15","22327","21772"
"05.01.2024 05:15 - 05.01.2024 05:30","22926","22612"
"05.01.2024 05:30 - 05.01.2024 05:45","23593","23120"
"05.01.2024 05:45 - 05.01.2024 06:00","24293","23544"
"05.01.2024 06:00 - 05.01.2024 06:15","25121","24216"
"05.01.2024 06:15 - 05.01.2024 06:30","25781","25468"
"05.01.2024 06:30 - 05.01.2024 06:45","26374","26244"
"05.01.2024 06:45 - 05.01.2024 07:00","26915","26708"
"05.01.2024 07:00 - 05.01.2024 07:15","27453","27216"
"05.01.2024 07:15 - 05.01.2024 07:30","27964","27940"
"05.01.2024 07:30 - 05.01.2024 07:45","28488","28464"
"05.01.2024 07:45 - 05.01.2024 08:00","29002","28804"
"05.01.2024 08:00 - 05.01.2024 08:15","29651","29000"
"05.01.2024 08:15 - 05.01.2024 08:30","30050","29692"
"05.01.2024 08:30 - 05.01.2024 08:45","30350","30176"
"05.01.2024 08:45 - 05.01.2024 09:00","30558","30288"
"05.01.2024 09:00 - 05.01.2024 09:15","30805","30424"
"05.01.2024 09:15 - 05.01.2024 09:30","30872","30336"
"05.01.2024 09:30 - 05.01.2024 09:45","30889","30420"
"05.01.2024 09:45 - 05.01.2024 10:00","30866","30256"
"05.01.2024 10:00 - 05.01.2024 10:15","30850","30180"
"05.01.2024 10:15 - 05.01.2024 10:30","30766","29964"
"05.01.2024 10:30 - 05.01.2024 10:45","30663","30044"
"05.01.2024 10:45 - 05.01.2024 11:00","30562","30180"
"05.01.2024 11:00 - 05.01.2024 11:15","30396","30156"
"05.01.2024 11:15 - 05.01.2024 11:30","30363","29976"
